datetime,symbol,Open,High,Low,Close,Volume,Standard Deviation(12M)
2011-05-12 10:00:00,BMFBOVESPA:JBSS3,3.9852474,4.21711634,3.92728016,4.09393596,7381963.28914345,0.6090645374307966
2011-05-13 10:00:00,BMFBOVESPA:JBSS3,4.11567368,4.20262453,4.05770644,4.08669006,6274855.10791911,0.6116347335025023
2011-05-16 10:00:00,BMFBOVESPA:JBSS3,4.08669006,4.1446573,4.06495235,4.07944416,3593478.28754916,0.6142140086936346
2011-05-17 10:00:00,BMFBOVESPA:JBSS3,4.06495235,4.18088682,4.02872283,4.18088682,3879432.93121618,0.6157841276265561
2011-05-18 10:00:00,BMFBOVESPA:JBSS3,4.09393596,4.23885405,3.93452607,3.97075559,12335520.25108377,0.6183541879656543
2011-05-19 10:00:00,BMFBOVESPA:JBSS3,3.94177197,3.94901788,3.80409979,3.83308341,11591927.77035119,0.6223504289447382
2011-05-20 10:00:00,BMFBOVESPA:JBSS3,3.8258375,3.84757522,3.73164075,3.73164075,8284818.15346277,0.627140784705767
2011-05-23 10:00:00,BMFBOVESPA:JBSS3,3.70265713,3.70265713,3.57947676,3.60121447,7848295.69307726,0.6330939668021169
2011-05-24 10:00:00,BMFBOVESPA:JBSS3,3.61570628,3.69541122,3.60121447,3.68091942,5495794.31472397,0.6382584238403559
2011-05-25 10:00:00,BMFBOVESPA:JBSS3,3.66642761,3.73888665,3.63744399,3.69541122,4419048.11303956,0.6429427562408253
2011-05-26 10:00:00,BMFBOVESPA:JBSS3,3.70990303,3.89105064,3.66642761,3.85482112,4818998.18897924,0.6466118189483797
2011-05-27 10:00:00,BMFBOVESPA:JBSS3,3.85482112,3.92728016,3.84032931,3.92728016,3999086.73240311,0.6498716796486071
2011-05-30 10:00:00,BMFBOVESPA:JBSS3,3.95626378,4.11567368,3.89105064,4.02147692,4882068.30102356,0.652526052173458
2011-05-31 10:00:00,BMFBOVESPA:JBSS3,4.03596873,4.10842777,4.00698511,4.10118187,7100148.91541369,0.6544951830925647
2011-06-01 10:00:00,BMFBOVESPA:JBSS3,4.05046054,4.07944416,3.89105064,3.89105064,6139330.27197267,0.6572702689098566
2011-06-02 10:00:00,BMFBOVESPA:JBSS3,3.89829655,4.05770644,3.8185916,4.05046054,5087977.72590348,0.6594433567950171
2011-06-03 10:00:00,BMFBOVESPA:JBSS3,3.9852474,4.20262453,3.97800149,4.07944416,4011507.5422149,0.6613343406498999
2011-06-06 10:00:00,BMFBOVESPA:JBSS3,4.08669006,4.12291958,3.85482112,3.88380474,5074452.84410842,0.6641396512387056
2011-06-07 10:00:00,BMFBOVESPA:JBSS3,3.92003426,3.9852474,3.8185916,3.8185916,5146079.51402308,0.6663695440614038
2011-06-08 10:00:00,BMFBOVESPA:JBSS3,3.84032931,3.84757522,3.72439484,3.76787027,2936831.47549912,0.6695564777918348
