datetime,symbol,Open,High,Low,Close,Volume,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M)
2013-08-05 10:00:00,BMFBOVESPA:ENGI11,7.859663,7.859663,7.459905,7.588641,7811.0,-6.666657647337515,-5.495528727032172,13.356911013229276,5.685476340388234,2.956658323435426,3.4641650073150427,8.366088019557957,8.982414952508558,-2.470748902526405,-2.133070497694867,1.156617638216017,-0.1910891964019513,-1.6890467447108026,1.3660559574528799,2.1306603325316185,1.0883086094108008
2013-08-06 10:00:00,BMFBOVESPA:ENGI11,7.588641,7.588641,7.114351,7.114351,37033.0,-11.01694459470868,-12.105221932630997,3.470392115113208,-0.0872683558116517,4.535726335993781,4.212461809476659,8.859117345140612,9.58197586923442,-2.5701051457677475,-3.324124816610616,-0.0242777676857674,-0.7818008706763412,-1.841380298984439,0.3862799692379787,1.5851207260534337,0.924821392523435
2013-08-07 10:00:00,BMFBOVESPA:ENGI11,7.114351,7.114351,7.114351,7.114351,432.0,-8.695649383950634,-12.797302218435538,5.876668844417786,0.2497100736546765,5.4913435543341365,4.671401107150942,8.825923653355469,9.582060118395248,-1.7004663189328746,-3.1465028124197105,0.2477101918596321,-0.7468361211719325,-1.357065771178099,0.16796788018873673,1.711955572805922,0.8466772564391418
2013-08-08 10:00:00,BMFBOVESPA:ENGI11,7.060146,7.060146,6.911083,6.911083,3234.0,-11.304355749580214,-15.288818025381678,2.8516088322442004,-3.750737598081224,6.723070780120716,5.391291292095247,9.051493587048498,9.868258836045657,-1.7769485873610584,-3.189187771667424,-0.0932127821287715,-1.1307654643195697,-2.489566534725122,-0.7023288878794798,1.2906131461231647,0.5018921746435983
2013-08-09 10:00:00,BMFBOVESPA:ENGI11,7.724152,7.724152,7.724152,7.724152,725.0,-2.978723190455021,-5.322791569481644,14.951804234560162,8.476672848292237,6.040371716274524,4.89105018698506,8.005649778375254,8.836514639716947,-0.5994529370738746,-1.4785294367117334,1.4054517061190104,0.1207166135191412,-1.4167596958924578,0.45023905915083,2.033945237167916,1.0010937700954132
2013-08-12 10:00:00,BMFBOVESPA:ENGI11,8.65932,8.65932,8.65932,8.65932,429.0,8.76770455869187,4.171243062624807,28.869092354010046,19.107760548742,5.640785946460671,4.411073187544931,7.112988068223329,7.944822143607494,1.4404923817232496,0.5120579162477809,3.5377418632820192,1.4721275737903885,0.22097809826654946,1.6394053821864338,2.9495844097515715,1.678497256526245
2013-08-13 10:00:00,BMFBOVESPA:ENGI11,8.65932,8.65932,8.65932,8.65932,1010.0,4.3282013321323625,7.916926354373423,28.869092354010046,19.107760548742,5.853544208813072,4.456122221412665,7.080218125696815,8.007311032697457,0.6297049829569963,1.3466103017812223,3.5534200195803027,1.460388085899751,-0.3867221747842516,2.0155532962664457,2.9195823824417513,1.7393131981233034
2013-08-14 10:00:00,BMFBOVESPA:ENGI11,8.488187,8.488187,8.385507,8.385507,1153.0,1.0292797318964284,3.64085553597808,24.79417275469643,16.783268789584323,6.072382590904896,4.597340687242121,7.242404711990061,8.30939520909193,0.0637450539747764,0.3743122607058994,2.9105170181167304,1.127311854297187,-0.9629312077583755,1.460625331503776,2.594880486587025,1.5365828576207508
2013-08-15 10:00:00,BMFBOVESPA:ENGI11,8.65932,8.65932,8.65932,8.65932,1447.0,4.3282013321323625,6.936685300139018,28.869092354010046,20.596607348252547,6.044565260120276,4.490721656236853,6.9715304687392345,8.106967959438181,0.6098049731661453,1.1162843549081944,3.607405085461166,1.6255902522865286,-0.5693760768403732,1.9999023872841222,2.855096840575089,1.8388015410157517
2013-08-16 10:00:00,BMFBOVESPA:ENGI11,8.65932,8.65932,8.65932,8.65932,716.0,6.501714615470311,1.1721231854476244,35.155400334887055,20.09619545318376,6.197112239304226,4.52712666049841,6.924738585726109,8.166274146467517,0.9455241430715928,-0.1668582315071462,4.538873854196196,1.552260644323572,0.07444490317875586,1.215000104596215,3.1944779600309916,1.742574419535851
