,SQUADRA LB FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO DE ACOES ACCESS,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2023-03-16,0.4985399586172168,110.66745336646473,-3.286398460453705,2.000650730945781,-2.506331202715578,-1.680682119490436,1.6634479983091688,2.6962850487236865,4.016432501940023,6.305565743569754,-2.5892454017726863,-0.4441235528760621,-2.255476523556775,-2.351996135453501,0.609261014754411,0.7627752310659197,2.891699296188996,1.9638188812566133,-7.069342985035974,-1.5699037496699764,-3.1327493935884148,-7.551952169455748,1.5747364736791014,0.6169374479650666,0.9159787906103108,1.3002441202732984,-5.159445911981036,-0.7883281545866454,-31.17566467703248,-1483.0666260724042
2023-03-17,-1.007362445675497,109.55263100166552,-4.493541303134811,-1.08746025522168,-4.668783412854486,-2.0029700717014274,1.5261399922615717,2.7039557942377668,4.078221531279932,6.369043260586875,-3.613179623986942,-1.5849351867016457,-2.7515477863688385,-2.380408770374772,0.6263268441970071,0.7250336363012072,2.75883166384759,1.911105672373892,-8.804058095994106,-5.910890842853018,-4.067454195833441,-7.933065479087343,1.833640598404901,0.6618859486344195,0.535921097427722,1.811938571787765,-6.605482511793808,-2.8282571741088325,-38.61755827128829,-1516.0926436397328
2023-03-20,-1.3275037901340547,108.09831567292684,-4.403246528216462,-2.862192241812441,-6.156895442507997,-4.944080042474837,1.3720669835790569,2.7849409179656046,4.169133147970042,6.456022135693212,-3.9531037576054544,-2.176106009671132,-3.0484834629368547,-2.805134308974709,0.6217203082310353,0.6379732310882146,2.6563017988505337,1.880022025154056,-8.72405658406961,-9.499343190037406,-4.784672231848189,-9.632870758973796,1.9971154142426404,1.143660938308606,0.957433122156222,1.544516686812253,-6.497318386814373,-3.999482837323705,-43.73876803911113,-1811.0009192333205
2023-03-21,0.3213979763609043,108.44574147197984,-3.6318359611730098,-2.470274796021966,-6.161438065798186,-4.8716339230682815,1.2903204519260731,2.8159514797138776,4.186986728562355,6.433955131851936,-3.605703199142857,-2.0129640951588668,-3.0365694720088685,-2.804734576169533,0.5275958030024939,0.5810602400258793,2.6126914942714925,1.894559685787846,-8.818327505549371,-9.755286684425451,-4.866275297919875,-9.524923682900155,1.317168457354852,1.4697094323245414,1.0859508093980672,1.698254311928055,-5.573245548052709,-3.740838842715141,-43.754401087095204,-1804.553641982853
2023-03-22,-0.5685044800807115,107.8292225732549,-4.249980340970205,-4.864319576746694,-8.047219610438258,-6.255521271740541,1.2730606391261916,2.883923888612386,4.247435826419995,6.469592700013502,-4.140146038011346,-2.795654224764418,-3.437334481544005,-3.004423706169536,0.3623207514727872,0.5349513500775961,2.5397424481890463,1.8809276602505625,-14.546936491498077,-15.071377989659744,-5.7485583369719935,-10.33394217542244,1.573929609019476,0.8113980995970923,0.6424421459947494,1.5838625241891189,-6.313720797170714,-5.320776944499632,-50.24415634338421,-1943.7397677181937
2023-03-23,-2.103894198875389,105.56060981484376,-5.822089006050056,-5.539645955276551,-9.31455840855642,-7.89428945906933,1.4575580557602532,3.063850305107137,4.398522009930586,6.609866746603887,-4.6946779233004206,-2.851895331525526,-3.607392752973259,-3.189798091745724,0.2940730838568819,0.4679648628751769,2.373385590708501,1.8083001161619967,-23.268928718537698,-18.671872772547847,-6.685469265733725,-11.659646618704178,0.9808957930679876,2.0871713333861712,1.2847691493034412,1.8498526259214645,-8.196950012645436,-5.766455273146626,-54.60559399238621,-2108.4140335010597
2023-03-24,1.3492723028798004,106.98490988582644,-3.937200112949974,-3.1801955250314804,-5.769201290565502,-6.56242006812642,1.42154030108907,3.0917878617286654,4.381337885634348,6.520653253702241,-3.487679335864017,-2.062990811994718,-2.8123462800774246,-3.0304089494724327,0.257033227369364,0.4398872348732428,2.3712633013404054,1.8615054899686927,-19.28885531239762,-14.499920538091995,-5.196318476088621,-10.615196185512266,1.5233464042145692,2.2944616979574355,1.5317001497410625,1.958840914262555,-5.939041313166582,-4.217524034701208,-42.404551905989756,-1976.0245976425806
2023-03-27,1.202637922438976,108.27155098340056,-2.143225873665221,-4.017600890851491,-4.240819048512198,-6.2895796071136045,1.3448212275306506,3.0855278883053825,4.358038564226487,6.440150888724815,-2.352656568138088,-2.3385740069152416,-2.4766777308884333,-3.027162165377369,0.2695976014281812,0.4138489938299796,2.36116605976907,1.9121167184564136,-11.73564778455327,-17.435672007861548,-4.571240136929793,-10.195706633121826,1.6701382157383569,1.5936596125902542,1.1721467072674738,1.830457733791107,-3.7900392916946863,-4.779469244287077,-37.14475566014339,-1949.5381109669197
2023-03-28,1.315152313985224,109.69548679154646,1.3258791496578262,-2.684992458007272,-3.229519749854976,-3.693771169525976,1.294460519378812,3.060691721757464,4.316873968083367,6.349919483587521,0.2357758501186257,-1.922155976225108,-2.266028111091384,-2.6626398762969217,0.4300945483299805,0.4020876335828257,2.383307169882675,1.990369999631006,0.709617293654644,-14.631454421855436,-4.104446916171983,-8.49467628200253,2.343266526150721,2.052080595346213,0.9041381712546108,2.250757509980754,0.3656021576451038,-3.9275494687280346,-33.66445596275996,-1690.754882827489
2023-03-29,0.0476553466155049,109.74776255599852,1.2202714267572443,-2.6718436504382472,-2.4271220360496835,-3.154184528616535,1.286900123237218,3.0732643160846167,4.330131087437188,6.343854910626308,0.1550973559617598,-1.9100140674747543,-2.0737848043360163,-2.58138610296805,0.6556991829587105,0.3948410132937327,2.3591187285057305,2.0444660928300644,0.3043999621904728,-14.866687803840088,-3.806404460023944,-8.00988530108997,1.418152808870865,1.685035436134662,0.9875850480919792,2.290348368703261,0.23909464988575135,-4.018931113981666,-30.903073131539138,-1637.5938905536373
2023-03-30,1.1915316263665154,111.05544185608288,2.1908561753906484,1.3027126537542562,-3.1547352193610845,-3.754571218975916,1.3147474318905232,3.0397014812456247,4.284584295263396,6.267075056413198,0.8900413317040792,-0.623555235371527,-2.2656511260504604,-2.710084484899007,0.8417584385516526,0.3930630384198565,2.41010295882987,2.1583637459900715,1.390160765299597,-4.822182671301365,-4.027783625449206,-7.869064196263192,1.244399965569469,1.4014262060234857,0.136559093735506,1.840161281351443,1.4194242625298394,-1.3195374520662506,-33.40709142271486,-1698.4302876082975
2023-03-31,-0.7476889604011716,110.2250925774002,0.8682424168977068,3.3405817245677496,-8.774521682278374,-4.033850931020265,1.3297412923146843,3.056471448484729,4.329146839902151,6.307804650477375,-0.1146344813382756,0.0466051460375388,-3.5404573378909343,-2.738125447347818,0.7771313843823089,0.3756762322718309,2.294845406098754,2.1189444826903974,-0.1961498485609897,0.3791756996570572,-6.678950858914348,-8.151020742384683,1.863280906593771,1.9991536689716676,-0.3581946683589755,2.280781517739193,-0.18500753912478532,0.09995336376763282,-48.66480047348656,-1727.156043037101
2023-04-03,-0.583304741403623,109.58214438617968,0.1327561925275526,1.7479952309296645,-9.575090425123271,-3.4308780666697,1.3378795954606064,3.020016105110237,4.336832221482288,6.339711965499006,-0.6636773822856923,-0.4801759808393318,-3.718780809434106,-2.6304926881717177,0.8295515844445779,0.3412820866386181,2.2733705952165284,2.1511649567877305,-1.0703619212821334,-4.249092619260242,-7.094192417601725,-7.752341780084823,1.586417529685133,1.9127033713987085,0.7952090544879103,2.4152034248225185,-1.3297760655332462,-1.022705534372191,-51.20666203872301,-1667.6565970359884
2023-04-04,1.336032705672885,111.04619767475674,-0.1909698083920833,1.9373723816765016,-8.60240492828807,-0.5912423865521282,1.3611250743022827,2.9357233620661374,4.248297700001507,6.25373813324842,-0.8901800808198806,-0.4294553298059173,-3.56732131605166,-2.213861367669083,0.9236190776427192,0.2778152475325052,2.3441730205878324,2.205141245547358,-1.3118464721850078,-4.538131207242455,-6.464984798071043,-6.278468231762212,2.660018862217053,2.5147901730457063,0.9898238455981736,2.575255155289273,-2.4800261615618426,-0.9011557813440844,-48.11831778151119,-1384.4909256717642
2023-04-05,-1.0078702711182164,109.9269960611857,-0.8248945466607028,0.2596993376250436,-10.089870603571176,-1.7480295625485849,1.3259199883453523,2.952280420106113,4.260858433405421,6.316978991084644,-1.3919174483673973,-0.9953102925842294,-3.905905084044408,-2.3760845148523893,1.27653965159467,0.2084022020119111,2.385865507377397,2.187282704330152,-1.4457609402195069,-14.099827450760635,-6.975459666930507,-6.862247816274282,2.199370120581231,2.5364335717873545,0.9941438453927208,2.412290455232988,-4.629713307640238,-2.1281121779580583,-52.8411249900149,-1500.9675961364092
2023-04-06,0.3151161960137205,110.27339382956586,-0.4701104856446688,0.4781148307573565,-8.918446657116833,-1.094074761811532,1.3001098164879714,2.9360014288358016,4.20325634003057,6.296522342410967,-1.1466624488138002,-0.9264367410995268,-3.680737842142852,-2.281211829384558,1.7039960506965628,0.1652303603074848,2.4688201702311847,2.202251614794144,-0.8748770898216289,-16.461984289887067,-6.266590356610964,-6.522279813532893,2.132678945741765,2.6172474011212503,1.421381109950691,2.6456362171553405,-149.07871059009577,-1.9908735908041424,-49.1217723014391,-1436.3701251492062
2023-04-10,0.151957778625511,110.44096282924424,0.3384951259923157,-0.8828061552552009,-8.704229791115042,-0.0428150436998999,1.2835208056372165,2.9242572117875167,4.164468085086709,6.286626353934466,-0.5314923538970586,-1.3955477531718856,-3.663581397012417,-2.1188506261650137,2.108165521521451,0.1465692725704456,2.622737099668593,2.277777319098517,-0.3235901011091609,-27.84308409284988,-5.817154836793758,-5.847991405837418,1.6830702476118238,2.3076274368660625,1.015583517739182,2.608770462550398,-68.21814942639732,-3.1079277145128805,-48.44161881907805,-1332.042218649952
2023-04-11,2.4790956380605467,113.17889992137609,3.047460877963281,-0.7935564135940734,-5.295693378556077,2.638474721520876,1.4575908052201771,2.852677170656313,4.023445183219554,6.136581573171046,1.39050291100103,-1.399278853213965,-2.944822373082664,-1.7350235647874053,2.164294653318636,0.1482380966340971,2.953265649573109,2.5115362244072874,0.9364641060306684,-26.927564037728427,-4.011942303303898,-4.2392833251706765,-0.1303452023218227,1.5449943731748543,0.8360189492398189,2.221241385636055,66.13526466095853,-3.1162033870628205,-37.619278104145614,-1064.7113636691931
