,SANTANDER FI PETROBRAS ACOES,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2023-09-18,1.0688330235810062,221.54572644645629,12.09619077242436,9.338733321073924,68.75001396138906,42.50739611400729,2.9669429040733992,4.54735121032175,12.295992555303323,11.945765820771058,3.744884541121779,1.3630710762924032,5.0631957792420055,2.425852799290661,6.896175984361194,32.68105317755067,6.334097054145102,4.125769374649609,1.611162279073516,0.1896622754125506,9.82887017287827,7.023821940713605,2.981334345594844,1.3810469243165462,3.216606317917836,2.9641151052924704,1111.085861585543,619.836290853283,27.6008345320751,2897.866945598817
2023-09-19,0.0302295390181228,221.6126986982754,10.585071271012444,13.087118973488234,70.14343127766115,42.895504333315095,2.596010516647584,4.7038704638559015,12.26988176664094,12.062533255041672,3.697881442653149,2.1149717539505573,5.187686352511517,2.4347094776413334,8.028639906657984,31.5437465347741,6.452094943663236,4.097387284413008,1.1956868443536308,0.3153890789202914,9.865369115537836,7.167680768702608,3.236451624113248,2.0703786655862086,3.265467653293671,3.268573175905056,959.9739114443514,994.8553165297537,29.510222829034895,2936.876404041372
2023-09-20,0.1370510560777083,221.9164212422437,5.23740751103681,11.176745575124643,73.87635165947059,43.28612724696912,2.24955086785736,4.841986034743671,12.2169162094972,12.164923016159012,1.890188577294931,1.6604724346619348,5.5158831120094405,2.446490885712806,4.915233013653804,30.49324621064084,6.787190797229391,4.1496855839338735,0.8650811350461376,0.2636644286466392,9.928567475708531,7.171958617697822,1.6663668201843629,1.6779839481306773,3.2592913627637143,3.31486282874241,425.20753544678803,803.9984339709912,31.928344551997963,2976.137328443096
2023-09-21,-1.4426168207245291,218.7150176214532,3.9561414590680473,10.462004868385906,70.88512104600409,38.30462416619288,2.255517272738897,5.016241922926197,12.31382095298523,12.448705500560544,1.317916764363598,1.461026160219729,5.22986212397299,1.9908778109904224,2.508877717481975,27.76839582826432,6.780620572128092,3.9709326277346735,1.184826189551269,0.2639281260866478,9.49759466974432,6.241317564422903,1.5919322267235614,1.8691442299052077,3.2960337243993507,3.0457622498299037,297.25840260542543,732.886067538609,32.01419416636192,2478.3851556620407
2023-09-22,0.7043468962786292,220.2555300597652,5.445804311359071,10.457781438193772,69.47000632454167,49.67261016334778,2.2098408659250075,5.092707817475862,12.147483386683849,12.47177237856948,2.020064720290501,1.4389700770993883,5.185288471856054,2.899012078607291,2.3162852693138296,26.35428691012073,6.992967670532973,3.949547464498845,1.92723307005865,0.278066873361072,9.00736404551889,9.154420624668068,1.7439814051597202,1.8691087240458395,3.255204537153653,4.233625037880612,446.40215707113185,732.8254160757899,31.312571626931614,3615.58187671137
2023-09-25,0.6116071591792727,221.6026286500989,5.077439369366206,10.111021742210232,67.60905548699102,51.99441717532625,2.116201737802248,5.184524977720241,12.005558963703448,12.501229046839008,1.9362196035956472,1.3473001448559534,5.09189028752656,3.078225885521084,2.5147354048710806,25.852668479344125,7.198236859107641,3.943134934539373,1.6293687526564828,0.2701891783075617,8.492494798398088,9.759140250497977,1.9894870360457773,2.182608290971593,3.236010190753713,4.262871768154397,409.7431289895888,698.511125349179,30.403039636470925,3848.16068528079
2023-09-26,-2.570920087746209,215.90540215515992,2.05721394823821,12.648858352905537,61.5355881743489,47.05700589655388,2.07743212130071,5.381674806766212,12.229494082867252,12.914266857930183,0.5193818309123743,1.770185837703353,4.502333099066134,2.5977608235292835,1.7626923098620495,23.276627690355426,7.149709672221645,3.8296069074438073,0.6121207273218221,0.4092759764340678,7.701187673123705,8.760214120912591,1.7676350396400389,3.1044445208612013,3.011302346153486,3.768108021069207,107.89804987573403,952.6564526062477,27.60091966796875,3354.8176508133643
2023-09-27,3.455138223104215,223.3652322307697,5.549606430753953,14.682045794502944,65.49014965930779,53.377623358609775,2.013350013938487,5.297729738471378,11.770474894885036,12.589403252529616,2.271412098450337,2.1827026053681355,5.014203088520445,3.167169560373177,1.5813239040200762,21.785110303220108,7.334134485492934,3.849004008717013,2.891973977278836,0.5307922861877141,8.04724152359447,10.359244800570018,2.6134883250190697,4.153914490085061,3.356734207777362,4.255064912667323,457.3147580075035,1156.3368502697726,29.783077128336537,3987.2774764674873
2023-09-28,-0.4406880710693173,222.38088829741244,7.700982799158475,13.932073182240789,68.44113267692047,52.56005202098741,1.968484499661508,5.413445789951797,11.766272101304216,12.744649645587971,3.416993386156312,1.998175047530389,5.267111623508313,3.06475149714702,1.53278596666387,21.75146988037125,7.670598182319757,3.9552245580205936,4.3882829451619205,0.4973002908829393,8.07945704847215,9.87533918971146,2.429407215869785,3.868241432494294,3.3201880857633257,4.077043608894826,672.6298516094588,1081.7012298640116,31.42354416061806,3905.918408192996
2023-09-29,0.8895662388010761,224.3591136012521,5.588907001650237,15.002049728326517,62.304856156259255,51.91949680190864,1.6116961570928807,5.473534121421128,11.58791688819348,12.736162163681062,2.864061712066848,2.1723816573220818,4.81896154404309,3.0168121985517136,1.551792743178084,21.48465781146804,8.032332650650874,4.025207746645555,2.9746222717612376,0.553446335075202,6.952118181416068,9.54549722561417,2.0903934593612186,4.114278607475639,2.888642238566906,3.8908240620908288,461.5997255014995,1189.0605126101793,29.045648571592675,3842.2609378125812
2023-10-02,-1.7620432390083152,220.4058090089423,5.021406650527979,14.38529511908411,61.59402287856472,37.27142630547717,1.4837773170934856,5.627950834799623,11.732767410412787,13.055640071869329,2.7297030103340902,2.0038317679817785,4.699200482956037,1.821321599436985,1.6066220991838105,19.870293617156,8.015518004092867,3.928014929044493,2.5209857446832893,0.5675541030593578,6.878485738946616,6.053571507976645,2.306200975969137,4.029717738602808,2.991786789284834,2.920653821300318,405.0271409135527,1127.7466671411055,32.694723616842644,2377.8519257370644
2023-10-03,-1.0181016434843593,218.16185384508725,-0.1156637100694852,13.794989957264066,59.6784762058407,38.7353813981936,1.096980087166134,5.700526256776181,11.75804116806918,13.280769816225932,-0.98910134294908,1.875401858664348,4.526503387455112,1.900978251676747,1.9075373193919083,17.239970120053147,7.911466196863022,3.822133356811498,-0.5688090431438112,0.6201157811107627,6.727300838143655,6.605330643730232,0.9741982834407912,4.659905990098591,2.9190336856210792,3.674370772060794,-108.5024477404422,1069.0777537322967,31.561022252226913,2524.6454586170485
2023-10-04,-3.044383558821051,211.5201702350082,-3.583529762433173,10.309732503624346,56.72378307890463,29.87812333274744,1.433244069910302,5.8396529858893285,11.993347773780442,13.767166342297187,-3.1753950233892274,1.2345144483789563,4.191644771406895,1.1907444284198194,2.082796244847078,15.915055302660512,8.08862905547902,3.853697781337486,-2.1850990456483395,0.4529758676612667,6.215126586078084,4.253882257349649,-0.3937040852123966,3.7318973688121857,2.7380450793351785,2.8813020552106754,-13.601345587852823,720.913598459969,30.46304500072966,1639.317661721924
2023-10-05,-0.2650056782238286,210.9596297732968,-3.187417080004759,10.92889368113793,52.397812784636734,25.738207891536963,1.7026346957864085,5.80911687095803,11.86755977757836,13.872347595974263,-2.4392954067343093,1.348210598993719,3.87186728873359,0.8835736740389503,2.099101571289709,14.476869140647402,8.15138272196975,3.853342137439584,-1.978574571894808,0.5409949389007603,5.637033380367716,3.1809376628738453,-0.3451472711076458,3.877435802272335,2.5891213981016112,2.6251559602374765,-9.084523242328952,783.1912936218844,28.797383110182047,1225.7241132920378
2023-10-06,2.3649170770019934,215.9486500833856,-0.3497969014180265,13.81898276332805,49.385421467582255,29.288460889690988,1.691864728094114,5.635627560969964,11.476415225848347,13.633080838536287,-0.7765599766162335,1.9031807105191465,3.741669982603103,1.159787295012121,2.4231488903209555,14.182330622948996,8.297944386701847,3.9276085386905057,-0.5422012815368407,0.7562662266773381,5.174891076308304,4.0257255255075,0.5143834815973817,4.643327567181268,2.667403574594124,2.9161179344324983,-2.873802400530248,1072.56176657081,28.00648432987427,1581.147394840758
