,ORGANON FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM ACOES,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2023-08-01,0.3223210835546997,163.2455955599575,4.703095659115106,30.90808608580872,36.751771318121946,58.12866709294293,1.632609678620911,6.152215561469455,10.923726453768468,9.610499349609787,2.255541595201989,4.504060591277243,2.764544995892249,4.634549329561044,1.0035675050614343,4.01416900947014,4.158471804410681,6.2529783841686,3.6693286901845177,6.903035620594064,7.262074801668898,7.1230588978604,2.45699398187356,3.947703256796817,2.7600357325737472,4.433081565320002,69.74201701876163,2770.995165945717,3019.91333042614,4454.033331748088
2023-08-02,1.7366992125265712,166.0806805325316,7.80010112897966,30.985595831457434,39.2252835481669,57.57535713800759,1.8892495443981925,5.889340558034553,10.863576685127567,9.549992712315374,3.5884219365435444,4.718263637716917,3.0075403783945114,4.605766438231087,1.1409173859187798,3.7151658246096217,4.117750505489521,6.219836114187665,5.942081865343743,7.479467328494201,7.934586005332104,7.071735510747978,3.7848067083470314,4.407745916870053,2.8978411705239937,4.51999821787596,677.9424508723371,2778.7461405105882,3267.2645534306353,4398.503591973362
2023-08-03,0.9686869176927404,167.6894823576653,7.540641445858126,30.997223057511945,42.07718352951659,54.94074531604212,2.1078613380855904,5.723715646504157,10.892348989242628,9.57409200788677,3.094004441711011,4.8571410536726525,3.2615930556508808,4.318991718870562,1.2323259351527638,3.535098270777859,4.1046202400708856,6.181078949908647,5.2922138182049,7.864249340957238,8.655224538488879,6.689839174175074,4.423893784971943,4.903373151861202,3.008052386949251,4.2783585794418215,652.1732342547731,2780.089424618385,3552.6409823039644,4135.042409776779
2023-08-04,0.1020939409959398,167.86068315883992,7.666548580580816,28.903624933045773,43.63175018218977,51.82159977216786,2.329513576482452,5.611386747518847,11.00420537912701,9.684703446204605,2.854418635040266,4.581595042707872,3.369879011965448,3.947799352771023,1.243543083109427,3.3607512832300466,4.056164509200328,6.046497659004322,5.347146434737305,7.649807896655703,9.142341408087578,6.323208599902396,4.160435943492429,4.828269042022411,3.086486210257947,4.273323399125358,664.9406963290809,2570.9101705149,3708.2840750477385,3823.326599670583
2023-08-07,-0.4759855150282432,167.0616906215764,6.557881064652602,26.001846602666777,43.72333348509066,48.99648043541145,2.449470987609637,5.540905695367824,11.161998366392574,9.848661945793696,2.262736293058433,4.1164983092345615,3.330612232255626,3.59542588250902,1.368734828076023,3.2664896294848385,4.071370726663506,5.987133104709394,4.049364996614351,6.982764837434079,9.131147908505609,5.9143722794696485,3.046976345738313,4.378357080515618,3.119063076560952,4.023095006799011,554.2506902458008,2280.91289266098,3717.6288295524428,3541.0134067988292
2023-08-08,0.2110119459903581,167.41421074596136,7.437070789746124,25.981099537374075,44.85716451596477,50.495816235584016,2.548837845243676,5.465013909541608,11.237352609625912,9.947286599125508,2.520154063040594,4.170197507050349,3.409342472986812,3.7107061180555294,1.5560314807693942,3.189830062431126,4.076205748851153,5.920508452920145,4.1281067453380444,7.144639976273964,9.398932707634971,6.234507987776143,3.719779344335664,4.558424908444994,3.149869431750373,4.398117411088284,642.3464051722482,2279.0187381565897,3831.198353592681,3691.1457241426815
2023-08-09,-0.3435728314686193,166.8390210018206,6.983002334320125,25.143062784139392,41.099678941615394,46.7471710039883,2.557671831791652,5.394727464697512,11.361136526800433,10.093072829705877,2.3346087310039247,4.069520890657361,3.0416289828901744,3.285897160150714,1.4689860543318114,3.0649726352478552,4.039429942951742,5.812646837857967,4.064819384728372,7.16285550628226,8.554762089335052,5.705627792887984,4.10245651782035,4.701622319131255,3.0564542412811284,4.0652321083782,597.1162989543592,2195.395611698955,3455.6362138488407,3316.479934832487
2023-08-10,0.984837959594964,168.48211501206316,8.363438092243006,27.16862546504991,44.57419773563572,49.907946335926695,2.559680360627808,5.267651595556435,11.354284817709974,10.116214136463356,2.872767327865368,4.552564614409612,3.349638104681056,3.591023429708214,1.265200536511785,3.00395101747071,4.051353570791479,5.768408123213328,5.812016275351708,7.983260750756362,9.387663755393431,6.297675408540417,3.731334638170815,5.108758700226344,3.188172937577736,4.538175757752193,735.3366109790209,2398.132425496856,3803.2745076802926,3632.756198398536
2023-08-11,0.6173914514843837,169.52230918742774,8.741182417012054,25.27236876105055,44.49059463585264,50.22337591382121,2.53544959951,5.136616175067159,11.382820304472778,10.175841400156656,3.04990395685825,4.299887751718093,3.334060019711057,3.601174329453168,1.1431829714897757,2.994398808593913,4.058656406339284,5.701382106489826,6.764339531652459,7.376062571578334,9.350632891570127,6.42738517545041,3.778811609609021,5.08562017254511,3.199073148016724,4.504159033982718,773.2877765960214,2208.6872976448317,3795.100608869793,3664.4978830830937
2023-08-14,-1.099446387863212,167.65850228244426,6.32087782199719,21.760622279793274,42.36798683999963,46.05828370437823,2.435603373133259,5.102264562098942,11.591053084833582,10.398703065444224,2.1819400194816594,3.640918980774941,3.0911999202893723,3.123646636618429,0.6727763318635196,2.8640058802985435,3.9796413535442654,5.544403692636429,7.899119246219342,6.486345582204226,9.00338980043944,5.858497262511397,2.957807021768902,4.634492971872842,3.1675013535089094,4.44997794380558,531.4340471423978,1857.6931889081382,3583.026237190745,3248.18738555686
