,CHARLES RIVER FUNDO DE INVESTIMENTO DE ACOES,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2023-09-04,-0.2400722611289985,151.871471969709,-1.4773724832620665,6.835832295309702,18.63480441088112,23.773008502398444,1.06017176528511,2.1978844229729075,7.404167840735496,7.128393677080987,-2.3229298501160387,1.6739820275438255,1.637596212843126,1.4346013221942495,3.367417400624476,8.543437143794469,1.9642310551279625,2.867841156811645,-0.7313333474413646,0.430648573958033,6.172917989250206,3.565888916117946,-0.2718036918825369,2.242219501947302,4.3235184974906185,4.635545630816202,-24.874224649635266,21.17321840553789,1212.5037215243312,1022.6402994261513
2023-09-05,-0.2185798014672224,151.53951160779226,-1.2778785776799937,5.831629119887629,18.77263677517012,24.92233078530492,0.9702267700508422,2.1133138430096303,7.426429209731586,7.17847298797744,-2.332661604596136,1.266646099277864,1.651498020172502,1.5849766341894782,3.080567734282902,9.315366344775477,1.952949823349127,2.829097899288401,-0.7346732581342694,0.2873553907302159,6.28010663161334,4.021674880168123,-0.2513382808442325,2.125854528081261,3.778293212815434,5.421009833972455,-17.75505494516155,15.404603455848328,1226.4733136822952,1137.771195510457
2023-09-06,-0.1431370016045208,151.32260249463073,-1.5090222521702608,6.358681594881063,19.75502319898993,24.67345236755881,0.9046074124735444,2.0432381625273583,7.437427568777904,7.217808618631503,-2.757388867640016,1.568920415910735,1.7813932253870115,1.5421329060738422,2.4446378806067064,9.726158498259126,1.931227769420777,2.7541325517548016,-1.020336970365585,0.3295934431184614,6.860393836042058,4.0414976299681,0.334076044074802,2.57956141967834,4.150644431571028,5.073221035681008,-19.568394100325634,19.436268960260573,1324.898308532755,1113.0820180535025
2023-09-08,-0.4355142461333505,150.66357100314687,-1.3109243223395377,3.89307209908822,19.597096004129444,22.274703636434747,0.8186423055383067,1.945167100913625,7.457186993530366,7.27480068557992,-2.804957016481747,0.3813931445799989,1.7557450810748794,1.2005907014250763,2.2247145748330257,10.47144153003848,1.9351988608705792,2.7147572349868807,-1.032157789985626,0.0708473036136297,6.765671294709452,3.217251968340451,0.7228082310555074,2.618544663537026,4.123531545148603,4.631915550761803,-18.014301246557647,4.517292004207746,1309.2919382546509,873.4058057828022
2023-09-11,1.1353284565077004,152.3740973983363,0.2281726503019715,4.93612854530604,21.57299193301445,23.85060077096464,0.7965333194769936,1.884282633036696,7.365464031010534,7.229612014417055,-0.9505685295928512,0.9482306985433068,2.0461275362223814,1.426347879450847,1.856947575185899,11.658761702924012,2.015079267699869,2.7741613542039603,-0.4077441476457186,0.1532525222579423,7.478950834578691,3.717138424695244,0.1207836569182159,2.589091048538482,4.245585549733265,5.2998443055457525,-5.939972108024934,10.879487146844284,1507.0678770906152,1031.1941766016132
2023-09-12,1.9176028631676,155.29602745277256,3.624149740980386,6.850256670317643,25.461213212682456,28.07130450028848,0.9938189235593112,1.848209476818062,7.230644416047211,7.142318939210392,2.655229762541316,2.003380878121213,2.62227851163092,2.035001819149623,2.279572342845756,12.562677297297332,2.091851980294819,2.808732500326744,1.157593262040207,0.2947355437854229,9.064103797044202,5.174801100691902,1.534826093120785,2.8180238153171864,5.661642243569188,6.454620160002957,20.7017183563476,22.5456667713489,1896.07634774447,1453.4632034239953
2023-09-13,-0.6699338419610679,154.2556468096453,2.733660677554716,4.74343259493962,23.638116883907063,26.59768206833194,1.0797480235561572,1.839976763502062,7.261396469010868,7.2285399128652115,1.6192004827456452,0.8682980196198071,2.360362860791556,1.8071417276366424,2.7022516489116835,13.479782030258146,2.1341490370120924,2.8037664930753645,0.6469895287842328,0.1185218111323352,8.031084167829409,4.659088457861292,0.3726583256497672,2.323955201641992,5.029850213119894,5.358755878729753,13.71576604977408,9.728133363924167,1713.9530542936193,1306.299610642566
2023-09-14,0.913788581258168,155.66521729613777,4.553443466755712,5.531533707007232,25.28728596944848,28.011757558561527,1.221424481611446,1.8513453076437911,7.191112072578315,7.208235307698213,2.921270503338293,1.2896319131726628,2.613026024416313,2.0086827701888863,3.5130486997235617,14.502704807904488,2.21436623164899,2.841021345898479,1.015673739583386,0.1646281864427518,8.48575214053393,5.096427060269607,0.5383827216037815,2.1993522503097984,4.395594218167043,5.377012747290644,27.992096097866416,14.537896347071591,1879.0562990141466,1447.9058066040586
2023-09-15,0.1484840024312816,155.89635524117242,4.444814811963078,5.020777461452155,27.34315049193133,28.473012933802185,1.2943314836123774,1.8791139628100129,7.1700554713477045,7.241869133653108,2.672794951830272,0.9997277707289632,2.907688918865092,2.063320891352876,4.533924746724637,14.963878668203614,2.254135717997295,2.791328838054108,0.7630216310699293,0.1255424782999289,9.248906654213604,5.353113424761014,1.1846847621260663,2.47538353799405,5.178317761251107,5.512243878330272,27.139896298141505,11.438873114425276,2084.8290841685744,1494.2299875910007
2023-09-18,-0.2629249884833484,155.4864647671086,4.179455833986665,5.658537089074117,26.735206660874145,26.37451427920849,1.3257259794047036,1.9128520390667088,7.156879100596562,7.301298580887172,2.409339280544239,1.3164461365039248,2.828357168336224,1.7593839614799718,5.572947039645967,15.565934253455437,2.3021512062122493,2.7518926109119373,0.5731480408291569,0.1617742074154028,8.792737094099344,4.667982889394969,0.6474534708561643,2.41353447315842,5.169814650733196,4.887875674150254,25.05813556642304,15.333201370722486,2024.2210307087994,1284.578762118937
