,TARPON GT FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM ACOES,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2023-01-19,0.2557953046004702,115.4125199236297,-3.584554366263768,-13.249687731123633,12.797785610792149,16.538020787906103,2.30780727011897,7.079784272221137,6.568778191443596,8.503479793696078,-1.995500684198232,-2.323209511059723,0.9530023636441723,0.4579841083168326,3.048158608511391,6.787823142992763,2.539685946490674,3.0120182015564296,-1.510823936018567,-2.423136521235777,2.464895768451277,1.2929731330619718,-4.11031235970371,-1.0714865437903405,-0.3368112246851462,1.987170186157096,-1.001864636791623,-4.752775888138517,28.354611303809914,389.44586109061026
2023-01-20,1.3048837057064056,116.9185190904583,-1.6134360150390312,-11.245686619474684,14.79978948970496,19.695439581463912,2.1029842439638964,6.8795973054803286,6.338643639458491,8.361307242141654,-1.2525593773970958,-2.09951548098901,1.3031496030365273,0.841234129352921,2.660074391391872,6.822206853362289,2.60458605131718,2.956393872113773,-0.990240214265975,-2.117177235502273,3.171406426895755,2.3791880657181323,-1.8005233458879362,-1.1263196571945668,0.7483240363633038,2.579579816570293,-0.5714721517035506,-4.014120733888691,37.41413728690189,703.3817018095307
2023-01-23,0.127409915821941,117.06748487721173,0.3582574564431269,-9.15601796745088,11.809876407062928,18.92122658535681,1.9896614788385665,6.778865375021328,6.1713343106795815,8.310576080755713,-0.3329305868653791,-1.822451355845603,0.8536928130944118,0.7510358703546569,2.530341263584132,6.119723293527104,2.6664977981551363,2.9343548103707024,-0.2617904443746337,-2.018743626344928,1.9757840234764743,2.127057272658331,-1.1549391053382,-0.9552122526487116,-0.0433070446899808,2.3622969940164347,-0.14363927227615633,-3.34428177090339,23.7981787948341,624.154073995896
2023-01-24,1.8882273380997685,119.27798513068905,0.9518818032661506,-9.72213855024114,10.999885210654597,21.593256839698167,2.111749880255517,6.595762131420699,5.937124883614288,8.124201630873703,-0.0325771615442517,-1.9588749137940364,0.7506273650782115,1.09493895158154,2.4818279516521065,5.670161129311603,2.813002706144289,2.9966170757909505,-0.027719414210136,-2.2786430018367576,1.584274482848323,2.9685156932498424,-1.5926666544465489,-1.42978610409594,-0.0976115706151651,2.9310377243142844,-0.014775261189263944,-3.311800733169218,19.841469652402537,889.5504816145889
2023-01-25,0.7534544058347192,120.17669036484708,2.8632603819576152,-9.248077896918597,11.770958647947154,20.447396736446088,2.2456638529956563,6.427336652553779,5.80798204130827,8.030727622084996,0.8205073788062128,-1.9364494184888985,0.8997578902175929,0.9627490810281376,2.265612739361037,5.221387296473284,2.899977246062639,3.0485827199867246,0.8132827511470403,-2.383698357652338,1.8020064381554528,2.5361213220362537,-0.3927037792777894,-1.2784779987348454,0.087864000871843,2.751252729587122,0.39636869302074335,-3.065503545002862,23.26613203847232,773.157563814961
2023-01-26,0.508245387803341,120.78748285084112,3.3903459043039463,-11.62131276144521,11.42801738152973,19.72729500385512,2.471021779082056,6.263806102868738,5.692333045547993,7.966679059215326,0.9589835687032878,-2.365885364971572,0.8574642686764197,0.877831513203899,1.9507774929077968,4.860675208658549,2.90187918406766,3.036345643826292,1.2147306869505998,-3.048845387035568,1.6820039299918774,2.303229853946396,-0.3159697641247516,-1.603497075185231,0.164929786298792,2.8616586847544934,0.510638319078936,-3.4442247841773272,21.730994066528663,699.3401933760804
2023-01-27,-0.9902822594706095,119.59134583650814,6.013300231207775,-12.814191798090103,10.257067093457644,16.18328276445643,2.6203775633962074,6.070634613680063,5.671863044949724,8.024431146803192,1.9053069606048176,-2.637669246038655,0.6537812412531553,0.4276084824296674,1.966895513470952,4.314892649989067,2.8336789612632205,2.93808672516898,2.538326808291446,-3.710944286060564,1.3086018961343733,1.1678739077548914,0.1893967735037527,-1.357375151256351,0.0827428571973676,2.4946016772759894,1.080289022077175,-3.582406073029205,16.509406113358995,343.1314825045868
2023-01-30,-0.9006531277447438,118.5142426397196,6.871134440880093,-13.947768266250897,8.093845493441378,14.920265532077204,2.674275820910815,5.830861309947219,5.646335676959346,8.081172295998918,2.187679286810152,-2.9405437346541268,0.2732872920151143,0.2660777108331305,2.230067936372216,4.03559008553333,2.867688365854858,2.937978528544009,2.623443763843846,-4.248673014156368,0.538089077368962,0.7318705036394879,-0.3859591343919319,-1.410844502760184,-0.110429963625761,2.359060470577781,1.295848552480315,-3.693067784218184,6.72436615529295,215.02198253675058
2023-01-31,0.8661275886516551,119.54072719170377,8.451925938524777,-14.63939210128081,5.703887042934051,15.886324721119887,2.5993823695688194,5.43920823535202,5.531844380421553,7.997978790880876,2.8588519354700286,-3.279434387471642,-0.1534300158425309,0.3873726637279657,3.0977451557922904,3.678434560160176,2.900066718970729,2.999046498726744,2.398922101249432,-4.849216762158639,-0.2926660153624766,1.0330611245869814,0.2990807411489047,-1.6603466895557566,-0.7279277770386863,2.52623510996548,1.690390222871404,-3.6626273688300564,-2.1519541652086853,309.8198348663299
2023-02-01,0.8016927128895013,120.49907649053478,8.915075461009776,-11.787523924632431,4.761147116841608,14.900998905453717,2.466972979421228,4.919860347731415,5.45446147668704,7.922438185298556,3.2000345794649028,-3.045951976643805,-0.3284450545073907,0.2644121568818178,3.154615710293589,3.305991970993874,2.839052713262423,2.927927323755072,2.5024914492734784,-4.532878023439021,-0.6310171306964896,0.7154511491258926,1.5216588451115416,-0.9578434499530916,-0.2126254059240134,2.379653969894137,1.8204353886044686,-3.032628406260915,-4.413671423833421,209.47889683376656
2023-02-02,-0.0663323307516061,120.41914664456444,7.039074374304185,-12.110212533751486,3.2753080689423246,15.347656682864123,2.306078225904647,4.550156099289577,5.438449148406406,7.921062708061591,2.6097977451250385,-3.364356436583165,-0.6026221548616587,0.3193348001908319,1.887249037726348,3.0348942665303373,2.7127456812559934,2.834105482168285,3.188979108606952,-5.044112122431337,-1.208122813562393,0.8925112325892256,1.595637567169805,-1.1080563665268346,-0.033037957621032,2.7276006300582605,1.4106155418762125,-3.041354513263823,-8.068671028902509,252.94709771778975
2023-02-03,-1.7167702294950238,118.3518265843586,4.344871126990784,-12.40568499038902,2.591860473375838,12.85933658316477,2.192798843735484,4.177887386310847,5.526446917386783,8.046776162601873,1.515959622211243,-3.7348587872108814,-0.7166951206974747,0.0036255311372884,0.7967954420706669,2.586633087049325,2.6508649552646206,2.7509050869222804,4.171954721648214,-6.03248272623794,-1.4941453477736009,0.010605177790755,1.2130330112609629,-0.8680812500018124,0.4765260973717353,2.649221720189101,0.8100341053068084,-3.067553521394898,-9.751294965705426,2.917383753230318
2023-02-06,-1.2892339723562851,116.82599462912886,1.5065136455175048,-9.87172391614985,-1.5675078649743674,10.545026976522951,2.092637418400658,3.812198214581005,5.590534637277889,8.13838021188203,0.2321649326296224,-3.4284309489762186,-1.4524810962961368,-0.2822569136315171,0.650304387808914,2.357031164378508,2.6743265650837023,2.759802259091024,0.7470917225365157,-5.545051138917634,-3.036332953818138,-0.8323473440891445,0.8038525431647771,-0.8577081719756506,-0.3074530799127851,2.209366916922796,0.11933364183093036,-2.5450887783551126,-18.821504173222607,-229.71140805656347
2023-02-07,-2.275599444061616,114.16750294482895,-1.0237175294279812,-10.63300060197302,-1.865002882279372,7.349652428754161,2.1875012745119617,3.701932780262898,5.744551374332576,8.315065625446662,-0.9345796381948992,-3.736192915783396,-1.4653260711969718,-0.6619873443440657,0.9591059478918902,1.965311492169519,2.669648352171824,2.7115131754167385,-2.131562372413431,-7.037629955064426,-3.1530897652838665,-2.030035576201864,0.7185414129709949,-1.3790172932683853,0.059018701530586,1.848716006520884,-0.5056561922403782,-2.6318658464437723,-19.51106120745196,-550.4468211436064
2023-02-08,0.9936634904376572,115.30194373953606,-0.6349002335018741,-9.901562095848908,-1.9219960332780408,8.245255348156443,2.167636072330484,3.504960766027829,5.6940700944373885,8.222680056970786,-0.7637706692979175,-3.737473083627792,-1.488326259878249,-0.561963510060005,1.238302763477103,1.6806210566431865,2.7833885606679147,2.8165866514092834,-1.336972590700978,-7.794556940971175,-3.0447182857951294,-1.640583698926379,0.2437508340253469,-1.2645624437764036,-0.3882986617735488,1.7157344852419671,-0.42348121580140985,-2.4496719769970237,-17.974156299894048,-462.08461469157044
