,BRADESCO FUNDO DE INVESTIMENTO EM ACOES - PETROBRAS 2010,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2022-05-06,2.987880404681187,122.97254813832645,5.616333485733319,9.852839247908,22.518647564888777,22.518647564888777,2.33375009189339,3.164795921026188,4.450641038183929,4.450641038183929,2.0271086500692674,2.273841126713987,3.979497927271933,3.4208870913315508,0.6744826671086601,1.523483005868022,0.9433750158777716,0.2199598195277283,7.013916337771369,4.723546698695123,18.77441790209453,69.21782582093164,2.6046182337177126,3.5354246954208155,3.1204453184048,5.7111559896398765,2.605802011673803,4.379450010118412,1771.131678648435,1522.5140475673854
2022-05-09,-2.498496479740675,119.90008335204296,2.474014056941856,8.707694493845079,19.45752346845415,19.45752346845415,2.4994868614327976,3.3215446893925984,4.60167278726176,4.60167278726176,0.6340804697634842,1.8195753051674777,3.179563068813705,2.635461199663617,0.8644678955390748,1.3409331917736955,0.9070672446868986,0.193495449034359,1.833354149348311,4.5071601843449205,16.130346382635558,62.676048170119046,2.793840293072448,3.371050033875082,3.139152755945481,5.276746497705093,3.9309114181455724,3.6781029419096254,1463.1308849142517,1212.75300843763
2022-05-10,0.7883403795453603,120.84530412421566,4.077347157420442,10.670231024134118,20.39925536236085,20.39925536236085,2.621963122884485,3.37501104786992,4.6141448096641255,4.6141448096641255,1.2146009924066847,2.3700778791207795,3.3709721175494884,2.8245241130213388,0.9098423509001232,1.2072909899002398,0.8975430895841677,0.1710807041109191,3.5002096879295688,6.625609810113559,17.32970113659914,76.17903692644886,3.270665941754032,3.552718390582163,3.29148349546217,5.400558542897915,31.381997949811645,4.868011120059806,1555.4153499713457,1303.2763275868579
2022-05-11,3.17432930545285,124.68133202729426,7.704815078332773,13.762988590197835,24.22112420887529,24.22112420887529,2.941248976882098,3.4364829877711003,4.584742341442845,4.584742341442845,2.314845484548708,3.2255355016346807,4.2220762385872685,3.6682805173529607,0.8944534809004777,1.1152129349733295,0.9234382525901292,0.1498348387999867,7.61195194434778,9.939355552833854,20.96202062840309,112.24439618244162,4.100378017306983,3.641758723023767,3.75595370845276,5.481139015571675,680.8536913069031,6.7457426763126,1935.7131699850793,1681.8121008197984
2022-05-12,0.6999751023161194,125.5540703087214,6.213335292106059,12.841113960372724,25.0906411501546,25.0906411501546,3.297395446340156,3.5916611684865347,4.67439640281462,4.67439640281462,1.6114193969257449,2.827472731463556,4.323072510266879,3.776126990144063,0.854849973652938,1.062380493644177,0.9567684609194194,0.1281201725158441,6.215695321205428,9.559027180287751,21.120841056653727,137.7699863549416,4.180024360252834,3.2154276670335364,3.735870693037013,5.28080106136999,531.348698156715,6.180271163552635,2020.775459109827,1765.1114419300604
2022-05-13,1.2606970769164727,127.13692680305311,8.681343283627067,9.815920644138828,26.66765520663067,26.66765520663067,3.685836258181244,3.773351070032513,4.760601761095025,4.760601761095025,2.1102198135420687,1.887667172703705,4.572084010712984,4.031337525903799,0.8640302623782484,1.057425592224295,0.9906472282720706,0.113423451719554,9.001912363667723,6.7360114965667695,21.97136434857805,169.203037241702,4.798493596172345,2.4932786544031043,3.972586046190061,4.854783916965938,777.792470148582,4.334773231780876,2176.5871193274634,1919.1592525386081
2022-05-16,0.8955266277336893,128.27547183625674,11.446833122543543,13.350924666936944,27.801997787731946,27.801997787731946,4.080815899678515,3.989395937655646,4.8751350962316415,4.8751350962316415,2.5827786407367115,2.669711120171598,4.693472583535438,4.1618101511367325,0.6791678370254441,1.0354806351816024,1.043962628801164,0.0985193609342026,15.51876217906587,10.285595245012756,21.917750965348628,205.94314192933427,4.944578765815004,2.800026016212461,3.757440545594732,4.782042344314234,1053.9844142468435,6.4816437538791165,2288.1312915194603,2028.9386731659795
2022-05-17,-1.2883503322245526,126.62283436869173,7.070128345107626,13.684577564406087,26.155460324644093,26.155460324644093,4.334256101610394,4.221403672619382,5.051939332903603,5.051939332903603,1.4211363372076529,2.6002930911279134,4.199549873699142,3.682999188825893,0.5991638971880193,0.9894854540603292,1.0969593921526457,0.083066113514039,10.280273677486989,11.093530238095765,19.340616744068853,223.9937283443139,3.4960580102714296,2.784838981078488,3.172809320599028,4.4995328484041375,615.9568840762515,6.680253322091432,2121.5871187431053,1860.6288465081593
2022-05-18,-1.6366791717771778,124.55042481186544,4.87166871883003,10.307823061788536,24.090700181451023,24.090700181451023,4.518264761694423,4.3960734838792215,5.206971977441398,5.206971977441398,0.8758978883721462,1.7271847299137018,3.6743434488108986,3.169779894536572,0.7224113045605743,0.9057985837273096,1.0747373032929737,0.0600436835420432,5.4782345443524045,8.382471698830276,17.801748682987963,274.88245410447115,3.719423180981396,2.574972252612977,3.0250058547632768,4.468712561194264,395.7538563874424,4.620803272068945,1913.220337345373,1650.4955085509082
2022-05-19,1.6857551321275643,126.65003999021812,10.57696446851999,12.61778627656749,26.18256552825284,26.18256552825284,4.6308112289973575,4.478185109610852,5.220969854900946,5.220969854900946,2.085868557138366,2.2097104378774284,4.061536119164531,3.5549400350190345,1.0938667586790063,0.8763518992747933,1.13944565820106,0.040690600522075,8.830384011553422,11.29168817645421,18.61006489438714,456.13076535318777,4.499865870289425,2.553848750890297,3.148110827574168,4.512485846217883,965.9263536608863,6.045228925924545,2120.515764274939,1856.0234758814893
