,FUNDO DE INVESTIMENTO EM ACOES CAIXA PETROBRAS PRE-SAL,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2023-07-11,-1.2490385500686485,196.6782068845568,-2.8995904571920845,31.95018290984132,40.90738149833106,65.54498697063714,2.2886851805255444,10.854843611371894,11.463992979946378,10.3139721446752,-1.7128904887426122,2.6487759301633944,2.9967519645699583,5.040391804017411,37.5984573078003,7.055691330681969,6.401231495538459,4.5118033852865445,-0.1042667002359977,4.07501506740527,5.36689596500535,11.52232405215572,-0.2468732084795209,2.0608717505067062,2.124854492533146,3.287641104046616,-13.338397158887558,2875.204848348977,9.395325265367033,5198.646066488476
2023-07-12,0.062253413364588,196.80064578168668,-0.7269086198812302,31.124742573197413,39.96536559066043,65.54153834737089,2.407627398848702,10.77052348877717,11.534239814558507,10.329690555742824,-0.725853693546266,2.592873798190519,2.8968296232775024,5.032195770031604,44.11596769838953,6.982031564066135,6.3654505538100565,4.581633585550001,-0.0396134400153102,3.999782569098299,5.249075033157019,11.345522104667475,0.0986630128255365,1.9093397534203096,2.1201531966100022,3.260289756055037,-5.946019886261458,2792.660814684586,9.137703028667282,5198.102512034444
2023-07-13,1.4548565716219652,199.66381290983605,-0.0631447139956967,31.673855378277,40.11492234958441,72.28881727013624,2.339390815709043,10.55857178842989,11.4624586401023,10.213270071716082,-0.4632921215959769,2.6969292365023474,2.9280179226386576,5.75000138787117,48.27318623681918,7.015647287624316,6.4243076569981445,4.75629173689421,-0.0224518292398384,4.05888719664641,5.2242647967152855,12.347080527364373,-0.0790938795048393,1.8128049589820956,1.9901123568780603,3.589305777342698,-3.4664172004276725,2847.572095192545,9.178603767639762,5872.631708707056
2023-07-14,-1.813575097057185,196.0427597210684,-4.1931049264778855,27.310055719607952,37.89201444062512,66.50940038461076,2.4922661814132487,10.669058757952962,11.747393143969283,10.404811318141238,-2.09198422929997,2.259985800085956,2.6677728448079696,5.088502961935377,51.64807176237878,6.747600827120841,6.169869807065544,4.6698780074035895,-0.1009482323119751,3.5734065945843456,5.079422646953699,11.337536682286338,-0.360922491622083,1.5237655081202237,1.8765948135439483,3.134564162014592,-8.543543735893639,2411.19212932564,8.570683558627865,5294.491321074042
2023-07-17,-0.1921871534507957,195.6659907216141,-4.808428960203191,23.92355897826405,40.38925843135543,62.71728689494893,2.625110618643877,10.614439274306074,11.835416746663975,10.430948896030792,-2.220518076099504,1.9525689503054264,2.85892935937658,4.712017399894535,62.48339961138564,6.739841360203041,6.154048843625059,4.7506176552190285,-0.0932904678156677,3.0750611838270534,5.498269720843381,10.34619417151172,-0.5136923707899189,1.1774108162607526,1.887418154375184,2.865696153535127,-5.8237689368132095,2072.54245519125,9.253629119566204,4915.081269550778
2023-07-18,-0.5127452012865574,194.6627227436392,-8.816987840316884,27.370101570185845,32.11736866123126,58.682859273900775,2.762134366165464,10.6143051716031,11.940989385551076,10.493939221437955,-3.561616907953077,2.277300939914803,2.140922315725759,4.299090843022794,70.45471823576405,6.612258554347763,6.032994667442604,4.716988071839873,-0.139631024109034,3.655629456283207,4.237486034146894,9.56423830779896,-0.891261713939002,1.313862961333066,1.544745477351214,2.638202294678106,-5.566183511126427,2417.1967143834295,6.991435108869853,4511.439801412167
2023-07-19,0.8602422041157354,196.3372936403608,-6.950774493369588,27.604770971497985,35.63151041950069,60.105486446265765,2.440109734490811,10.41760171108023,11.91611143801858,10.42636023354269,-3.266841241174474,2.3428268062108164,2.4402987968762573,4.463210271756547,91.89542868814044,6.640064949513856,5.949847690150256,4.699804917540255,-0.0867448057800358,3.675662321184576,4.887330553650827,9.901482914260376,-0.7429163644761699,1.4087195998247248,1.800534674755893,2.877066817593833,-3.6694087440898144,2440.6636545146434,7.9524815757856855,4653.503809138173
2023-07-20,0.094071837376064,196.5219917399428,-3.188750327501824,25.340567149050603,31.78453938680684,61.08402245832936,2.186636251673856,10.301213575614538,11.971157606475908,10.43684702625615,-1.925069587836488,2.149497489802128,2.107724432539161,4.5522931258881805,87.55263290953533,6.637441114358203,5.908320099548591,4.743351111861387,-0.0480788162259785,3.3359893279957302,4.270571151836217,10.01646006233088,-0.3158867540334382,1.1061624541068489,1.5807380951830232,2.911616826375566,-1.8820982763208738,2214.243272269905,6.90041305561345,4751.158697357237
2023-07-21,1.7391262523507978,199.9397572899348,-3.511085268866091,28.03906297290211,31.349338755869088,62.16451597075682,2.1288387558651056,10.061743079419418,11.860225028476904,10.28770525688859,-2.12874830310048,2.468849418085512,2.090744541732607,4.72312261170415,64.15040480960307,6.784057256079344,6.013070999061015,4.918143039310627,-0.0706427637140022,3.66166257283428,4.123799759869912,9.879764157524171,-0.6877197896484131,1.095052255707823,1.3946235941303895,2.8992814086350944,-1.8083521595491057,2484.092854655056,6.781394513524744,4859.009332135814
2023-07-24,1.925321916547551,203.7892412569298,-0.9387957145237188,32.15873792974092,31.78815179705184,57.94907861897831,1.9757584899619227,9.819346341054572,11.754874336041723,10.140210815922613,-0.9917570111606966,2.949341279704681,2.1468127231115064,4.37591185979023,38.0186355275188,6.855303656572136,5.99816757639988,4.966151742226048,-0.0515397858863634,4.224554440506078,4.207203860472623,8.935020731017602,-0.5555816022384524,1.289971334957621,1.3437624468814813,2.507186753021349,-0.7345796716669578,2896.060350338937,6.901400976517562,4437.266877016892
