,FUNDO DE INVESTIMENTO EM ACOES CAIXA SEGURIDADE,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2022-12-16,3.466641115943414,103.26208345744728,-3.5175671331985945,-10.547439985406124,11.983708094335316,4.035150238328399,2.931300535027593,4.015300101956572,10.128860546141402,8.553444450868486,-1.548201455028276,-3.423299395494684,0.5420858264892404,-0.9558523709673076,0.3302911059808415,8.851116794368144,1.2440464488780132,2.0738894518173896,-13.740133086472284,-1.5529762775815832,4.413590622360854,-3.94226903036474,1.3051779606314189,-0.3000876493394203,1.0239453303426287,1.4418456160243065,-3.29272556056471,-3.856568418522977,1.8064127854512413,-22.74526133553248
2022-12-19,0.2556799573565582,103.52610390839676,-2.0490623038076534,-11.300793438585218,13.37345654321844,4.301147266093581,2.967978164033838,4.043471841293098,10.037267455423285,8.513838029722299,-1.034286222608794,-3.5857620465832225,0.6853057292257609,-0.9311692485166706,0.3181133986024361,8.984048628820616,1.304266448674304,2.1360326807160983,-9.649825934871624,-1.6138523358416104,5.273919987717592,-3.711471379488157,0.8770742086746405,-0.5197470255611127,0.9495169857898552,1.048352180342611,-2.227250973866457,-4.0198494158198645,2.2682034965069913,-22.10139820242623
2022-12-20,3.217812302167511,106.85737961591587,-0.5237011689913452,-8.445969976366698,18.014584082988847,7.657362414123793,2.8810491666729523,3.858006714615288,9.64877645815491,8.233745433040179,-0.5360470092327817,-3.0181659245451504,1.193712089157932,-0.5574137509543223,0.3539527686312562,9.205734348997952,1.4039635780810014,2.2176608281418315,-4.363231272974018,-1.2648751268806395,8.203817594346061,-2.06956937147127,0.6024704371334765,-0.4651311530043411,1.061607932422732,0.9388516296130882,-1.1205242596219789,-3.198574793590473,3.804680769441265,-12.821645192127027
2022-12-21,1.494032600249695,108.45386370315023,-1.3594337831545888,-5.728177759701141,19.77869838313888,9.265798505159768,2.869554380824553,3.7223760418818177,9.423868535918244,8.10100413236229,-0.8294355455730948,-2.3980146244279137,1.4091996287461015,-0.370221220151624,0.3531329470393254,9.167739922262797,1.4777004184636544,2.2420542185479726,-6.739983973078063,-0.9736655120828824,8.987012439216342,-1.3376855963273142,1.163614331932634,0.010885357010095,1.281535985156932,1.1845809379503192,-1.7293718101801376,-2.452011436050199,4.3972070567351835,-8.39591366532382
2022-12-22,0.8582777241339157,109.38469905627692,0.4631236210182876,-4.387584848419372,20.807777855898827,10.203602513826588,2.8133555487425155,3.6416803140652654,9.26080573779961,8.022797992250323,-0.1981807807716342,-2.083027234837883,1.5449334027451955,-0.2591813120911829,0.4858340850322153,9.112761791306722,1.5264022452887962,2.248075843895716,-1.1476201781952584,-0.8324281319421135,9.373235767190598,-0.9249506932428944,0.7993078987637589,-0.0812261819481686,1.6561249674029264,1.2789243789289024,-0.4051141653688805,-2.0832144327394406,4.7453478023700635,-5.833011030238054
2022-12-23,2.311126842248923,111.91271819747976,4.450505674966123,0.0531093800923131,23.77599019844137,12.75054755264897,2.942040909653176,3.52879550457453,8.975777719597135,7.839956110284543,1.165799239383847,-0.891246047605254,1.9244769173170264,0.0573451115913837,0.6245051961058444,9.33473358934267,1.64335020354817,2.347644711855324,5.492074487285016,-0.3369164225372074,10.511257429510406,0.1915039169877268,1.6428368867430372,-0.0600182023889308,1.7356857514763335,1.306496627714128,2.4920901452519852,-0.8635769488361611,5.749596797204225,1.263761342218035
2022-12-26,-0.9527312741360984,110.84649073147656,2.563109310342974,-1.2377658195260184,22.771479028602617,11.676337824355182,3.1123713404119213,3.5568995240114467,8.976883962956123,7.910168449491469,0.4955811891914364,-1.2471255417625042,1.8121324141147497,-0.0812412569093986,0.7242261326846465,9.070336790273403,1.6739023693889254,2.3128712733245087,2.1297666853984047,-0.4890557372284584,9.718190680952436,-0.2778503216385408,2.0419057366238715,-0.1986999413641499,1.6128179703928118,1.3878756495096722,1.1207209587898055,-1.216236611958829,5.457911987167001,-1.8101123343084358
2022-12-27,-1.92431713621718,108.71345271543537,1.0898112945656506,-2.247368470612447,22.14083471280257,9.527330918501322,3.1914010418991863,3.617129675642389,9.056083708719406,8.054447140891025,0.0216627974365202,-1.5054762713191632,1.7264410425100964,-0.3488317978485978,0.7797618470812293,9.000963259532991,1.7403442436028576,2.308062233019489,0.0886612682681816,-0.6049911259438396,8.98373678461056,-1.2173186825893485,1.8939773294947424,-0.303946475206391,1.4251026911455835,0.9602813040977626,0.050232777725460656,-1.4880944087049566,5.30130282133172,-7.930114813558238
2022-12-28,1.345593567238912,110.17629394189758,0.7051058618119982,2.001051544543812,23.607514779863,11.001123637709153,3.2348212545235,3.5653158169008834,8.823610594624729,7.940299072154404,-0.0975543109230545,-0.3357578804472619,1.9379380989379509,-0.1705056417167009,1.011009905376507,9.270672289382508,1.888442495686789,2.387500215438892,-0.3121341905416545,-0.129125789850077,9.054875210958976,-0.5670641535298592,0.5490767526055703,-0.0511980195476207,1.4645612493865925,0.8209382487728287,-0.22929549601108476,-0.32709803001873483,5.858043998399197,-3.8289898075076882
2022-12-29,1.208228016918378,111.50747479330592,2.2983746726236034,2.145414017699006,27.29442263659455,12.342270312594144,3.3023695571526805,3.5229120575113897,8.608882274124658,7.842293464806653,0.3869034129144989,-0.2988210864951861,2.4143268288646778,-0.0039189087793279,1.1377082417450193,9.206212657342322,1.9672986508316133,2.377442374301134,1.1230454394947325,-0.1143489128303981,10.565073804208968,-0.0129270147792041,1.7382916674609452,0.3294800351315255,1.928028214966456,1.2312349520583463,1.011814589338981,-0.2876515712184991,7.183642186785725,-0.0870951967207632
