,SPX FALCON SELECAO ACOES FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2023-01-20,-0.2922055765823161,122.5126030015277,1.0055197913571623,0.8131059091798136,20.05420798573087,19.687576575902792,1.3245745621829288,2.409181234599072,4.192054186872193,6.332326707874292,-0.0114427902602536,-0.9899747195933336,3.223865636302731,1.1095375107221437,1.6521503733366865,3.9842286310126047,2.751860571960766,2.26639420222406,-0.0091740008317256,-0.5986173832011179,4.911084368255898,3.100058235958896,-0.4646480187228546,2.107067445755039,2.7741585242339792,2.734953698662906,-0.006757981677944252,-238.50285171717374,1351.461943857625,702.5954012534187
2023-01-23,-0.3413172529288633,122.09444635047124,1.7335623769959725,1.4564117293414458,17.819235733341582,17.832157400800597,1.3433442009918508,2.4187404998898763,4.0336694426758735,6.355750471600325,0.5306798929219543,-0.7200948994277826,2.795911572522726,0.8106787040217769,1.566500529382326,3.5870858807746715,2.846634794858932,2.25307693493743,0.4550817209240113,-0.485553665259322,3.9617948515477375,2.286860015965605,-0.432236666159559,2.045766456855195,1.92861614145502,2.323757780414203,0.3162858768138267,-174.17226970101052,1127.7783074508768,515.2471555402748
2023-01-24,0.7120753776652666,122.96385084042969,1.0278973738376531,-0.582635980554423,17.82366725923297,17.13824676873284,1.362296337933067,2.405450819609033,3.8610724192764296,6.320486315555719,0.0053004279467709,-1.571751280918093,2.9215588912004926,0.7025558672996098,1.4906974838040306,3.3687081818748355,3.0313493887554013,2.301726400607361,0.0048438758767727,-1.1223205462699972,3.7212307159147655,1.9292018130429585,-1.2858827133236443,-0.3901226362762944,2.1090595981206146,2.367125226465221,0.0030708154435505155,-36.72736341419926,1128.0350456106048,444.04947451805634
2023-01-25,0.7998821425131197,123.94741672504874,2.00701416561964,-0.0771133074946461,17.706354854769096,16.597784085275975,1.4384755422430198,2.389255793609127,3.6995892380604753,6.288325159509515,0.6856825273687669,-1.3708233930443758,3.016868402553368,0.6173286031669344,1.3111520800498897,3.1289163902668147,3.1303071968439933,2.342959366022051,0.7522678416723564,-1.0467674189168423,3.5655203061169027,1.6568631292869649,-0.7130563881576553,0.1122137321442415,2.077997749723977,2.26150568501936,0.4146227769745377,-31.816587850131633,1116.117387473114,388.1962986979499
2023-01-26,-0.103172769418669,123.8195367425906,1.881109017973415,-2.813819724446328,18.054437041017245,17.246668332484646,1.5101707136410685,2.3891464724892733,3.5820582821499034,6.315227833162027,0.5697583656900594,-2.516360641770937,3.21250826900124,0.7145862954766574,1.0401372966195868,2.94544898642078,3.1285745820897564,2.3352880029366467,0.8272296364273294,-2.0410993972445004,3.6781580715152673,1.932427716288301,-0.968272881019838,-1.0365706017921226,2.422930416422909,2.580922384744152,0.35475109934429205,-18.154716736952786,1150.739185145094,451.27752623903314
2023-01-27,-0.5627326177945924,123.1227638221379,3.886427809109817,-4.5224342451285775,16.822357825356697,15.100322481965703,1.5500746203275368,2.3253819440518093,3.45821974001563,6.365859450825623,1.8487827303746085,-3.320129276495369,2.97073325756846,0.3688982706412991,1.0115516760740475,2.607581684320829,3.047650753138869,2.2611071593689647,2.833025001723936,-2.9608156545596493,3.370940185014062,1.0385861337109414,-0.7814404046536505,-0.5161835581725546,2.280881192371762,2.403182679553689,1.1679863923124847,-20.84804450400749,1027.3448393644185,234.83545425551426
2023-01-30,0.0990895005717584,123.2447655538994,4.550012514032417,-5.280141672200529,15.32813128683772,15.101720637969873,1.4689071172627512,2.1902952054716405,3.31273785139493,6.377891691132079,2.40269507329565,-3.870837171798692,2.649578075326701,0.3655871005934722,1.1484981708732818,2.4397469034444668,3.0869000626958307,2.2616148506917018,3.0730008834864164,-3.475063780830027,2.843421361913319,1.030977900833577,-1.5455701983896108,-0.4869024554928235,2.202713797446516,2.449315977579823,1.382427108311786,-20.941626453744576,877.7357580360888,233.16749312601743
2023-01-31,0.8039007060399506,124.23553109434448,4.991878370476245,-4.595195900249694,13.413900735435568,17.19161268887443,1.327592947039607,1.9919507637393723,3.1744508075749245,6.349520962119155,2.991279638141585,-3.91241112404369,2.1614014950877705,0.6935147301172426,1.513832440708743,2.2206152775255705,3.110523478961252,2.310647219021668,2.623276951550019,-3.5095364809366463,2.2058225144361607,1.905737180547312,-1.3259749553702411,-0.5866219190359567,1.3304799090776784,2.789077843794457,1.51582988142561,-17.166763001498342,686.1262721575023,440.34863164178404
2023-02-01,-0.634606181373365,123.44712473455776,3.487661459436562,-2.4830984529940423,12.30399143911028,17.332133102878135,1.1528195508420336,1.7818152508142295,3.121037662705344,6.405884452864183,2.139957495844304,-3.1884522689709054,1.8427696320282176,0.706525882423381,1.5158267612448904,1.9766086704952768,3.026773292301351,2.259663472846912,1.6274846850930595,-2.874232499406194,1.9001599623858183,2.002919116119512,-0.360746847601509,0.9596359073205588,2.0898605349034187,2.817526225751512,0.9403683116065006,-12.514339096233202,575.1353425249735,452.59231657620836
2023-02-02,-0.2835515329026261,123.09708852004869,2.926638898631938,-2.360334349149775,11.094628848788831,17.731969896754222,1.008211279452665,1.702732668859519,3.056117686273592,6.435595459125527,1.8904393525634355,-3.264440083377479,1.4861963121801305,0.7635321738721726,1.2124223940199117,1.749120973875998,2.87997222299299,2.187925386327217,1.5720282698311387,-3.1778641149010585,1.5770953617768075,2.2458646084437874,1.1020605227524447,0.780288938020814,2.4668824039598567,3.148157620565679,0.7265170426816785,-12.243920393641783,454.19908349282855,491.37841910679964
