,BRADESCO FUNDO DE INVESTIMENTO EM ACOES CIELO,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2023-08-18,0.2487176446285488,185.430494986999,-19.97653144455575,-21.46474494627108,-24.09507296909114,-26.201473185917003,9.768554566286504,7.681340840492299,10.365187994679864,10.292048808261802,-2.147298227193104,-3.207931348053424,-2.954634442018513,-3.86414164823736,4.563877421157742,0.8417622781109209,-0.1966300664833057,-7.224101170456685,-4.596091868108284,-29.27336460431321,155.75106083625357,5.505174070420996,-1.8566544565748608,-2.737495513642488,-2.256216406854997,-0.4426040020324122,-1.9768619988591913,-1.0019617344218523,-2.378589044272679,-6.291411700886449
2023-08-21,-1.0223247518884038,183.5347931391977,-19.47937677187982,-22.72643035817772,-22.025803598245307,-28.36688874875482,9.364264640695865,7.903627770850617,10.660041540296412,10.52769900879322,-2.1867256927878764,-3.277114636999486,-2.6786207213452373,-3.9831460714417855,4.606466106164741,1.408488209546322,-0.2151225907114424,-7.045197154484619,-4.445290079627552,-18.3892872355623,132.7345866643106,5.952049606092802,-1.6925118018269067,-2.791465784579088,-2.15486758219979,-0.4942485120668612,-1.8617762301225456,-1.0434736264868156,-2.174940833005835,-6.338149503624577
2023-08-22,0.2499836812185574,183.993600171404,-18.93803189489122,-19.98004797732361,-20.224545603623493,-27.41683180997157,8.806895418370784,7.968591889576168,10.83213878340057,10.613344568090492,-2.2634498475306484,-2.9055204468826594,-2.469603355085356,-3.8613010932533336,5.104284413685768,2.071046122307601,-0.2450894548275083,-7.2362354318688356,-3.905339999958101,-11.179329334408765,109.14825487315812,5.663347934114725,-1.8122174879827584,-2.730227690894362,-2.083543478959862,-0.5161216676358042,-1.7488295005889696,-0.9255045621266977,-2.0015925248585713,-5.916852972467315
2023-08-23,-0.5268322905726763,183.02426247311385,-17.29869301580408,-19.56931323078414,-19.66123953421096,-31.10554101466399,8.178185063508215,8.182439262866028,11.096794411889627,10.790366258509344,-2.236787256188284,-2.7791671918549423,-2.3597730470700253,-4.139622337889076,5.374754213211985,2.755363961560931,-0.2935164747568669,-7.405797082795508,-3.4034784481563527,-8.253126289646485,89.21446874062319,6.0314967718327965,-2.153572573828832,-3.1188254235796813,-2.282495809436837,-0.5644983058515954,-1.536502135665115,-0.9009416025448344,-1.919594758855175,-6.13256311454833
2023-08-24,-1.0544195118769029,181.0944189381285,-16.926403207545906,-19.91291157112319,-19.51073749840633,-31.828315757239324,7.730238092461135,8.476422446788007,11.436977381067672,10.999325122048823,-2.318014406943244,-2.723101649633877,-2.276261431729892,-4.126510352283461,4.8282307034435,3.403099850698213,-0.3262656844700569,-7.157366125671941,-3.711256642033831,-6.78268665643363,79.79248737229895,6.341554726600613,-2.022690897415417,-3.365167473422137,-2.174517887607752,-0.557142485795743,-1.455972135123617,-0.9061857801565792,-1.8750935239270112,-5.957298244457109
2023-08-25,-1.0665591332056468,179.16293987321822,-19.717692721273654,-19.070114671746285,-20.529556180079304,-34.00829020881539,7.309718142285054,8.799359159598952,11.795772379217324,11.220282478691242,-2.832985534580132,-2.527179256524683,-2.2932373171150915,-4.239359980900958,4.749868689945058,4.361944672735696,-0.3663858232213058,-6.913303830207385,-4.359768050596583,-5.098083448385909,73.83065525403116,6.880475338972764,-2.194847175476585,-3.3738863735396265,-2.1975695610902606,-0.5630067502095332,-1.628157329489012,-0.8660842137844315,-1.9143509224262816,-5.983194997404252
2023-08-28,0.262336849643674,179.6329502854106,-19.160906792998425,-18.32675351677496,-19.47993012608049,-32.60027594933611,6.141915140498851,9.010163372577049,11.987200625382872,11.262897912619284,-3.280698671091367,-2.385349834083812,-2.1688980112860525,-4.0981296045366085,5.799367351423916,6.3659854048774935,-0.4224169175753514,-6.958887418655017,-3.474477752205706,-3.376129591716885,61.5482347310157,6.632786621154973,-2.5774984704661064,-3.3700431915167006,-2.2227334431712893,-0.5742179738407933,-1.5293424650975223,-0.8312860649664111,-1.807560941468185,-5.5725951121975985
2023-08-29,2.3994335876771355,183.9431236290941,-8.904117841394202,-17.600943288229487,-18.05875017850212,-28.81107448816349,4.3138700975453474,8.951186148912523,11.87833115242632,11.06165011376034,-2.292887060517884,-2.3197793102952784,-2.0689751459196213,-3.829955442448714,5.6114536784834845,8.539597133526739,-0.4800658136798644,-7.003379353332423,-1.7626835209107323,-2.43158735783047,51.19292236410215,6.049312041836058,-1.3422622799765669,-3.3530539532547934,-2.259903193519402,-0.5309533438251746,-0.7459140537653555,-0.79859766901052,-1.6758969016332708,-4.949943996691816
2023-08-30,-0.5277770954788097,182.9723139538715,-10.218413110504656,-18.20358821731098,-20.95944234549771,-27.537970035270405,3.949298409769465,9.128448253664317,12.117626815761549,11.211664416580575,-2.836895089861693,-2.3405529342279983,-2.267341685495024,-3.6649808858902624,5.393060368878664,10.085863438738649,-0.523273989966682,-6.822657367907487,-2.07743739189834,-2.1183725592594853,52.50557248296991,6.022658558095861,-1.954676336038604,-3.419791370237548,-2.327573590332935,-0.5257118614299865,-0.8382115727783584,-0.8181093689552221,-1.8358173335003967,-4.657581624622821
2023-08-31,-2.104711429983419,179.12127474837922,-9.160163989597956,-17.836869852029512,-23.392888635440897,-28.16134618926096,3.4394270674444005,9.49360633164039,12.581218202918771,11.578922519832965,-2.9497634190875,-2.2117088346622418,-2.377065762720961,-3.602401267139282,4.709036144415573,11.557875503827995,-0.5514905985023983,-6.524271164875834,-2.154474044162602,-1.8166913970945755,54.22827356385097,6.393346337613127,-1.5081299607178191,-2.9361085173423964,-2.284016050338198,-0.5222987326379309,-0.7598382231888023,-0.8020444727088247,-1.9593393023882855,-4.595761591878308
