,SPX FALCON ARMATA ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM ACOES,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2022-07-12,-0.0512277539212346,101.03803640467542,-2.932046319463656,-7.083953643345112,0.7240790892833685,1.8097607329081224,1.21849630259446,2.73603706723677,2.899052993103455,3.28187885862374,-3.212015540611787,-3.6693594591695353,-1.672838795434942,-2.178664806000755,2.8007965683088343,1.1842743184550526,0.4175294732968428,0.2476685385792568,-1.3973985488259295,-8.477346284432453,-11.615104147240372,-28.86969014255055,0.4951095769565602,2.4578453666945124,1.6546589308676536,3.433079868000605,-391.3829060111408,-21.72294054482499,-120.44813497662203,-715.011396684147
2022-07-13,-0.0939313097720107,100.9431300537126,-4.716784061435534,-6.433807274509817,0.8227142278629763,1.7141294911759537,1.1933548530279383,2.773903376526913,2.893251549407648,3.2929769486678424,-4.7767363412363215,-3.386855381942637,-1.6473135796892056,-2.211247713322268,3.0484008900882142,1.1736686439201054,0.3837558199132885,0.2549427993508437,-1.869944833366168,-8.004652444662701,-12.419596836011438,-28.561652913146336,0.0429841900736771,2.7350949528203343,1.7580888616642407,3.495521119345738,-570.0341494449282,-24.728129017425285,-118.37290526774287,-728.1587747764706
2022-07-14,-0.5316424061247438,100.4064735682774,-3.6020257358531245,-7.179009367056977,-0.9023836766622572,1.1733740457802273,0.9065322385372218,2.846942578625631,2.904519093219456,3.3236061771828416,-5.060336188180361,-3.563635070326039,-2.240051383663211,-2.3643588030268607,3.091408406869185,1.1202911341914683,0.352560142828097,0.2563189974597177,-1.483905485353806,-9.056096318852765,-18.454360613345955,-30.657881782842388,0.0589654695904525,3.001964288336929,2.049477149427829,3.610236235412302,-458.73578924220544,-34.29377075229246,-161.59281632140016,-785.8197522816703
2022-07-15,0.5877322883836689,100.9965948330656,-2.2114607587214707,-6.7546860659300405,0.1652974835135016,1.7680026322944749,0.766140396944462,2.862388775478334,2.89146530346319,3.310741180637142,-4.172594119876619,-3.3980688547399183,-1.886128304356436,-2.204773693272503,2.423716527673864,1.1164926791774037,0.3367452443269745,0.2677913723380571,-1.318963203324148,-8.711740192758187,-16.195253360819724,-27.257917223292708,0.5780791470899237,3.0717646245620505,2.1355099223619094,3.5534353106183447,-319.6792915290401,-102.41256246610413,-135.45001315270792,-729.9435060302717
2022-07-18,-0.1617519488212315,100.83323087268002,-2.0317862907321347,-6.909044579206509,0.5103106242345835,1.603390904760282,0.7143559346034113,2.895696268581667,2.8961069542228803,3.323782549122578,-4.223550615529046,-3.414172297794227,-1.7691844055138748,-2.256442652074357,2.6861376436178164,1.1008493852336576,0.3268238813628604,0.2782817815093628,-1.1232181100137026,-8.980707184497566,-15.677395540207478,-26.95082901001293,0.3922326497904368,2.8988408565861894,2.2312959163444925,3.3592399572868654,-301.71184473010646,-189.589651322142,-127.25578459436954,-749.9924710060615
2022-07-19,0.5509371908523963,101.38875864229568,-1.160181304957744,-4.9411899686832,0.0077197682996516,2.1631617724217582,0.6516378359384735,2.8908959837122503,2.8664735681521685,3.308028116703336,-3.292493687750276,-2.7410204405743825,-1.968071914000943,-2.1088223318003485,3.558202762863711,1.1106779727166831,0.325636424941618,0.2921812136021524,-0.6029767285661717,-7.134385643345208,-17.324309228360367,-23.87574300456686,0.0641495772920597,2.416948630667485,2.1224498739884137,3.156237162217916,-214.5513461526674,-151.95707564196138,-140.11309904722032,-697.6043566727445
2022-07-20,1.2116417223780207,102.61722714380689,0.7089316939984012,-3.8601245883071824,-1.1024753993979703,3.401013265356968,0.6467735621055171,2.8654207807513687,2.8201373505701866,3.2626695741743545,-0.4273527533666193,-2.390013204278063,-2.399426201265479,-1.769745134417584,4.868208965269122,1.0788661593134696,0.3170109601042042,0.295764609936343,-0.0567766224791151,-6.347769315673471,-21.34535489845916,-19.522598073346582,0.2686686499650764,2.88033402590098,2.096531129268957,3.3972983255207865,-27.640046257052884,-684.8393501808529,-168.06121203775058,-577.4093604107355
2022-07-21,-0.2849205349926387,102.32484959123413,0.4732888530746907,-3.387937667119561,-1.135071843512239,3.1064025451734905,0.6646951976221709,2.8845033884842994,2.838126645622975,3.267787360962186,-0.7703430163569458,-2.2123949634407323,-2.4010204832967634,-1.8681196143309908,5.991496337114751,1.0784412408880346,0.3162036194222524,0.3053240634550601,-0.0854616734591575,-5.917485836739197,-21.55067112382188,-19.99389630609606,0.0587526901311138,2.0929236218957312,1.926726462148592,3.3152674518843064,-51.204330349423934,-638.166076871039,-169.24563240202949,-610.4617664476366
2022-07-22,-0.0093457203728664,102.31528659691938,0.0646475502632341,-3.729297378462685,-0.0792926010042024,3.096766509105101,0.6801222210544445,2.900479049394191,2.846956477475619,3.2638865727102258,-1.353704639848834,-2.3197805750048293,-2.028030805975432,-1.8843114542975048,6.048814175766004,1.0339513189616254,0.3134441305744085,0.3102862855801527,-0.1522091073642716,-6.507535542147552,-18.42023785550272,-19.820981913481965,1.1012962374534745,2.4930278383507107,2.0538930401197706,3.337274440375624,-92.06846063056959,-672.8474956993117,-143.3986984506163,-615.0178854485706
2022-07-25,-0.0338955471740565,102.28060627068464,0.5873197413372775,-4.160444888191864,-1.3508794194089224,3.0618212959780755,0.6817645650215415,2.913951992247135,2.848935375652739,3.26092777631225,-0.583797450985263,-2.458886505882977,-2.478258701860763,-1.9077579958641968,6.787379089775456,1.057347012229977,0.3237915886658788,0.3250325032184656,-0.0586400744627953,-6.776467091362874,-21.80538078472447,-19.139812103695853,0.5560596142263148,1.996619609178772,1.947348810816471,3.0945034945040244,-39.80124152316525,-716.5077232527298,-175.35537061908855,-622.1061039195349
