,SANTANDER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO PETROBRAS 2 ACOES,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2022-12-14,-8.697304470229906,123.1530207870942,-10.827698895902952,-20.449238783240737,8.146981110694242,21.62112119472312,4.901475374914126,10.761017653614752,14.99437946306088,16.620535518080626,-2.4173079756351576,-2.197503430509554,0.1105555088896861,0.5683399427915484,1.2763502065691892,14.793949020363662,0.4825071237414796,2.486634436631567,-9.283012965546112,-1.598449012974292,3.4356202643588984,3.7987546807671055,-0.5143825058481463,-0.8959729349558768,0.2685548033655442,1.3129825115799434,-1.310865695928481,-2.8709925186254877,77.64618100947712,944.6114205510842
2022-12-15,2.2251436672088287,125.8933524301146,-7.12734175120561,-18.25575994943212,9.664003279277338,24.327365870975868,5.386536336930922,10.802769641923556,14.565964542403051,16.226246645270376,-1.5126637716333278,-1.9859624047267528,0.2178276749276003,0.74782381194734,1.0732480663298103,14.013080830200096,0.4630808146805582,2.466304768540044,-7.591924576510723,-1.5309905534511448,6.851655453569653,4.920062505919293,-0.2359213353174593,-0.8003346946005042,0.3645068009234996,1.4940509720550228,-0.9452696487908732,-2.5532861598255434,148.61529879889898,1213.4373619863832
2022-12-16,0.261613714557507,126.222706705788,-6.538009034451616,-18.99641698800149,11.072309551896511,24.65262331104243,5.813443233786427,11.026883353198205,14.43269341955081,16.15144411944903,-1.3002080437938262,-2.0127674070222024,0.3172874989437029,0.7703114856109006,0.811734125066359,13.04708968747685,0.4233441501350662,2.402007305887744,-9.31177515062581,-1.7011112781462912,10.816998880578613,5.179685708664401,-0.0264091608662868,-0.6719304478023407,0.4954370671693965,1.601407468563152,-0.9517460290301196,-2.6063692510317735,214.4922289967551,1244.1642914414228
2022-12-19,2.132012132718053,128.9137901270005,-4.941512276571179,-17.11984810506433,13.956242031958514,27.31023236378517,5.910546050994032,10.965645549989803,14.009215479367764,15.781477423456824,-1.0087374068974135,-1.8528760973342584,0.5326052977557354,0.955630485847058,0.5862824658263553,13.124291089793182,0.4086733505473965,2.473214929649519,-10.16948185278552,-1.5481203816956837,18.257570188314936,6.09783676977059,-0.1108219515637819,-0.6318219304684305,0.5443771039070587,1.599257173621595,-0.8543525407868596,-2.359244047977371,349.4865865717751,1508.1260937562422
2022-12-20,2.272670426129353,131.84357571041932,-2.804961395754252,-15.058524368254458,18.92735050619368,30.20357436415348,5.867935199901981,10.829679114569354,13.556915506785398,15.39889968623099,-0.6519564183453227,-1.6857986835496366,0.9169215165990466,1.1660968893674746,0.1604635160420818,13.35477552128259,0.4000509012143246,2.564963222482363,-23.84117031940931,-1.3670509673121518,31.07261473266167,7.000727677653559,-0.1234704051560093,-0.6599467147018399,0.6209011296192898,1.5395124612695172,-0.6762458155416414,-2.095188714812858,582.2429894444674,1795.6609023795738
2022-12-21,2.4736059880115846,135.10486629400083,-3.71430385785017,-14.696452649320202,22.632543375773352,33.4242977762303,5.73386566715008,10.62573517170271,13.051976486263673,14.997764912831792,-0.8257920141439067,-1.6840799047323003,1.236131328598579,1.4108325980380252,0.0338747985220106,13.25714437508871,0.3870251710885536,2.5919248809899376,-139.7788528551644,-1.349807060206509,41.68710006489729,8.163560522885447,0.0294896726522486,-0.5658930313515671,0.8551928360009482,1.71313113784905,-0.9650286568934586,-2.0369237304926453,755.7046782387725,2115.9335636734013
2022-12-22,1.07999662959557,136.56399429639563,-0.6798487782919196,-7.213870645198954,16.56618256253315,34.86527569527513,5.665104035045038,10.525366007554569,12.72001783775321,14.80975368582354,-0.3001754933410837,-0.9892297392867194,0.7913300874012971,1.5248271072051147,0.0248070924383889,13.14467285614725,0.3501761368827267,2.5980103348581847,-68.54996823072463,-0.7921083457532544,28.74477089415804,8.692157058877626,0.0934241793572091,-0.2249794489813281,0.6093741521533027,1.7753536230119,-0.4186641649830127,-1.183710158749307,471.47276834072414,2258.2313871174592
2022-12-23,4.818378671808388,143.1441646709428,1.8701549062599347,-1.9611035570195607,20.52632616330892,41.36359537505188,5.464326544012456,10.050604766679273,12.007823217505267,14.111358893586928,0.1554589168786889,-0.5133261234662725,1.1679063513157135,2.059520362254168,0.415255816424531,13.443951552331342,0.327789369636362,2.717520698053325,2.045674623700378,-0.3837590431123235,42.78361136835656,10.694538960177018,0.1741573515588515,-0.1629550231347255,0.7102303621757521,2.002706246585295,0.2807665240009716,-0.5861641470764951,656.8761903746105,2906.2630980418726
2022-12-26,-0.3067832318284225,142.70502237639147,-2.186203752032804,-2.9373033246051268,21.754296128426223,40.92991556853141,5.515385674322446,10.090944483991452,11.92884781586032,14.136381264817327,-0.581442633689085,-0.6080142211356035,1.2784235109921562,2.023922896603072,0.3319805908961088,13.090484240812806,0.3017102916242665,2.681981148789513,-9.65984295537526,-0.4686944835721157,50.54557279018818,10.667839977133232,-0.0438333099862512,-0.2146185154429064,0.7780616598733647,2.068497559260233,-1.5823847066603212,-0.6963118608475521,714.3062690796905,2861.0945716974475
2022-12-27,0.6217427123463182,143.59228045316885,-4.514701572114391,-1.6374591837497616,23.815821897202174,41.80613704809456,5.411556424029092,10.035566769869575,11.722121189585309,14.032348653717264,-1.0228809899850215,-0.4818455918822169,1.4766765761574765,2.100087418007045,0.2658728684524893,12.985002842348106,0.2884452622694409,2.685944151767722,-20.81964295412804,-0.372398348218373,60.01062956399166,10.97162010362909,-0.2174045867757824,-0.1159767286272857,0.8394363523305338,2.091732507534367,-4.1075799178524806,-0.5486197127251002,810.7795902081654,2946.9158852759724
