,BB ACOES CIELO FUNDO DE INVESTIMENTO,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2022-07-14,6.350711895238681,186.2387266427289,6.96329434711562,13.182011308299074,101.22336424016356,92.1208186971864,2.26996439122618,7.00810394582822,15.50841569782399,16.234032947655784,2.633504831024041,1.4576776169312409,6.165650816066265,5.118213533044952,6.48893052584461,3.3655664672605705,2.2649959159569737,-2.364244950238612,0.9212553851111832,3.0353155578223774,42.216180271911696,-35.144094151582586,2.5699013845030003,2.5463812780095245,3.968719451079791,3.256542353620367,597.796219054669,1021.5556258961307,9561.947590318336,8308.924712858947
2022-07-15,-1.6450417835378484,183.1750217723272,6.647314944678895,13.814494573566064,88.98924684239292,88.9603509547427,2.4521580256069,7.221831399191517,15.70361486068991,16.57328893264644,2.308979571864519,1.5013624511643775,5.30898621422827,4.820582902212645,4.616192987070552,3.353904528437005,2.000910500816897,-2.484122802733688,1.2265481109582193,3.232825025117496,41.66616886408261,-32.161418579720056,2.624870648379812,2.4956952051526624,3.480900750427621,3.123266153401034,566.1982788109965,1084.2586491386044,8337.027480895293,7989.291326214549
2022-07-18,2.9267808097151127,188.5361531577511,6.972044717625928,18.79379681759886,100.86612595730058,94.49080624445642,2.702117943512669,7.1620994589805,15.250254225394686,16.196683893442923,2.215563008798372,2.208351825379306,6.244621674199659,5.271911904399385,4.9747996437168815,3.2208146246599147,1.7551255270431954,-2.6016505664907763,1.203407773138794,4.910694112194608,54.25940572660296,-32.820507000219486,2.769797460907041,2.8727029468551644,3.856654805143724,3.2175980995812967,598.6712561056997,1581.6435413787729,9523.206807295459,8538.749062963552
2022-07-19,-0.7180180451051954,187.18242955653128,5.134851160652112,20.684141088172822,96.6912088478404,93.09432715955064,2.9613705142898303,7.321438433650402,15.312253778269458,16.396664395768237,1.401215749282316,2.417738841122869,5.945699717113994,5.120256156616168,5.933844329565741,3.1932330379147174,1.581713850921194,-2.754977294752249,0.6992969099994671,5.543386863329551,57.55912354488853,-30.473979578823137,1.8471917623010925,2.725207323613216,3.67410352963452,3.104169552783429,414.95190040831824,1770.1326073926357,9104.20629578344,8395.512182040144
2022-07-20,-1.2011915194867997,184.93401008672888,3.617112600754892,16.923848732095557,89.096243843472,90.77489447710002,3.117879435360713,7.457932237812906,15.434744652115128,16.662964265608622,0.8440930763191896,1.868558116945418,5.405467318910987,4.89707511262284,6.787016286964664,3.0547000768336536,1.3610794263646289,-2.8288812147042712,0.3877669262766666,4.562012462133147,61.29841225767914,-28.84525061833184,1.0262520092256553,2.3484378843255094,3.4272607344475885,3.040963517930168,263.17804441859624,1393.557981859421,8343.200779274446,8159.97876076357
2022-07-21,0.4786566335528652,185.8192089937044,6.526585887391219,21.92434886763529,96.16150856876584,91.68805116466817,3.236426652030558,7.492472159215019,15.312901892937733,16.65215673540528,1.7121518040106567,2.5266194339823627,5.908885254706497,4.952933861093097,8.516322455109261,2.9599433730818454,1.174484047986114,-2.955725739521464,0.6506627432240877,6.395604030199469,77.03993967146393,-27.904155602871143,2.413703514075176,2.5397063447020027,3.6201451761535535,3.042271187319256,554.1253730822289,1893.0625766044461,9048.218020194698,8247.70309550183
2022-07-22,-0.96586655820583,184.02444339531155,5.503330868878021,18.66983942626962,96.07887871172784,89.83660038239213,3.2878319987897378,7.559961732646976,15.369179590297424,16.870738339185205,1.3741574125357323,2.072849361137229,5.880890085388811,4.7768896297572185,8.30730525847409,2.7285103055290225,0.9897314811056894,-3.0353664051864224,0.5438585162980962,5.743303155566,91.32219960525676,-26.550223024508888,2.90003401953006,2.372084823194801,3.570006960410951,2.984685663673623,451.7998712309091,1567.0661847739186,9038.445587314018,8058.965501880132
2022-07-25,0.4799351272257945,184.9076413418474,6.291791268025121,13.666346034227631,85.79625867290233,90.74769291195852,3.2903963653789003,7.542912525150953,15.190601030768285,16.848166155454177,1.6127112123299268,1.4134743912702117,5.272124456718115,4.835233094517701,8.78361538166833,2.753980655493305,0.8475747651853018,-3.2075048807313205,0.6041315427507141,3.871382926610436,94.48929167806436,-25.398187565099164,2.595982979006763,1.8457372758825064,3.241863594884304,2.949718875032877,530.6459111456192,1066.1713689892197,8008.673920656088,8146.481057678509
2022-07-26,0.969519715185818,186.7003573795417,9.298629723357635,21.88095789248238,86.68439345475824,92.59702940100206,3.2855965465594386,7.549731630903901,14.985014015445572,16.750819434351836,2.5302247092675145,2.499541893146993,5.402716014874706,4.971589515312546,10.169661999930169,2.662598360176925,0.649576847632223,-3.263588779315732,0.8174605573760259,7.087389061641026,124.63463791771018,-25.517368732398307,3.583454113625529,2.4076184265939045,3.316672043460964,3.0114898668571297,831.3297566788705,1887.087049346127,8095.977520436971,8327.819827271722
2022-07-27,3.827534068150485,193.8463771636024,14.403443292362178,29.549793506352245,97.25501987668082,99.96874631557124,3.319869604701035,7.358048891918788,14.413698482985362,16.23255816429473,4.041758482559917,3.606153092145346,6.3491893349699815,5.582235015062049,10.031823020002982,2.627991559611324,0.5077714740019766,-3.478238823123078,1.337554610865659,10.09677929394642,180.2293066295556,-26.05167706322016,4.342984824885356,2.8968240718975555,3.643342867149765,3.129366274903737,1341.811113579325,2653.4250763749574,9151.530068564367,9061.395456875738
