,GUEPARDO INSTITUCIONAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO DE ACOES,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2023-01-12,-0.8590685710228807,105.52569416540602,5.882258136672394,-6.945913250072914,13.59804963475143,6.029359014058391,2.058849263134366,5.678948771540551,5.698380804072036,6.039216546568184,2.3613100791142405,-1.7862544785155106,1.2406410374866352,-1.0802634082521028,3.1019846745541257,6.044201330705166,2.1454952849222155,1.9637038673172145,1.5672487218573703,-1.6783106851341396,3.295110980872729,-3.322265010702029,-1.722765689743107,-1.964983924747883,-0.6053852181346051,0.0068227106518443,2.22303639958586,-5.369095979395312,21.479066290952648,-359.6708060704276
2023-01-13,-1.726473861171629,103.70382063882036,1.2399241382403978,-10.030240547991871,11.554752068211585,6.225310268341789,1.8239599697001712,5.7996863129158855,5.651810874611002,6.136105773296144,0.1202041281751098,-2.280877664863333,0.8890041973618737,-1.0342128289456576,3.303051694515232,5.621340473216679,2.212844204925923,1.9229324834522443,0.0663772590505237,-2.353242084760932,2.2705997914538507,-3.3001883140053523,-4.380859791990658,-2.13976145697184,-0.763676673067593,0.4255447283938871,0.0867341048091235,-6.237431858462021,12.0227979322291,-349.8627282570485
2023-01-16,-0.0103763712208215,103.69305994542071,-0.6042734739729829,-9.77201047803075,8.161184982113195,5.795471009200878,1.7748670194662703,5.7918756965537,5.502070500225797,6.119753272249602,-0.9155334323119708,-2.2393686577389493,0.2960799130897562,-1.110163608854121,3.910370057515155,5.305498402513972,2.243127160628915,1.854941626474558,-0.4155489302365021,-2.4446609762876363,0.7262417325747244,-3.662609799171821,-3.060767599757776,-1.1559719080905426,-0.7767882002011346,0.5310308258332017,-0.6189160982153177,-5.939532041864366,3.2831197395721596,-374.5551913170022
2023-01-17,1.0938302268975963,104.82728597829878,-0.2096369041859801,-8.697797331130657,9.231486976224076,5.645593966908053,1.7560651204479836,5.70688915078951,5.339178538243146,6.037624484644108,-0.7006081438075645,-2.084486213620688,0.5052257663030048,-1.153078688511922,3.783222864519433,5.410938582014423,2.4261184517070404,1.923307483914806,-0.3252024975796795,-2.198496910872994,1.1118544383166735,-3.619731208194725,-2.7607942183795813,-1.2565770181287677,-1.0467858128990324,0.197911111104216,-0.4616387913078322,-5.269869355930788,4.35933350899849,-383.81325068538064
2023-01-18,1.630853675900279,106.53686562502236,0.4463938567366335,-9.078602150395106,11.570047182572004,5.27125424866065,1.7750553813957466,5.576959911487027,5.143001867955156,5.930123620012354,-0.323529490706983,-2.201331329540294,0.9788421023710256,-1.240151286618908,3.354622389620358,5.3017663125314565,2.57047423751142,1.9391908948005312,-0.1711914775554356,-2.3155936820015803,1.9584661411744533,-3.7924324298789416,-2.4029909688914555,-1.3321947338481042,-0.4371019927261417,0.229681001992208,-0.20985172964114845,-5.248879454152752,7.88798301833909,-405.44629434797463
2023-01-19,0.357106078239755,106.91731524773544,-0.6428898395866489,-7.074029084851127,11.201640449976749,5.452084451465869,1.8090856604471155,5.468645225441928,5.000697632571209,5.904645495792351,-0.9195620175507816,-1.8783744579760289,0.9326530665455556,-1.2179355611880132,2.9913365947308708,5.170156689164688,2.70179897580867,1.9486837824852643,-0.5561281411036287,-1.9868186070125256,1.726226126978485,-3.690428272750564,-3.076372116193665,-0.3387233289702889,-0.7211991807582634,0.3255652571113859,-0.5613431676423685,-4.382199906174501,6.758132754138767,-396.47249160402856
2023-01-20,-1.8404520831700744,104.94955329198896,-0.7666198703351347,-8.257314219067863,10.491490375578689,4.844759777061164,1.72401115992929,5.53224815980843,4.985482553391038,6.010621731430732,-1.036708190836032,-2.0706678938668746,0.7926819091435906,-1.3005081895990087,2.5859739562183965,5.184389296110356,2.773681626212714,1.909048055172748,-0.6911502284443265,-2.2096042544517225,1.424785667928349,-4.094639087333033,-1.5837943618907746,-1.3161142048935333,-0.3020314458156359,0.3320479397062688,-0.5954632009967477,-4.7299912094681105,5.653552817018328,-430.9505200037224
2023-01-23,-0.1150982364852226,104.82875820695077,1.0107180411835373,-6.360203737894819,6.958488832816687,2.158791856517796,1.7058478736460807,5.507494535005136,4.855663320239716,6.009180549801536,-0.0058379057280566,-1.7355147796324517,0.08588655070988,-1.7508034417816791,2.4476943137385585,4.582346295434736,2.832691879594135,1.8879761561651167,-0.004068555054794,-2.085904806838601,0.1472225683944226,-5.572577786284249,-0.973170629630972,-1.0437822734694169,-1.1881711031819076,-0.224019208339691,-0.0032951742331624816,-3.8701884418845744,0.502133732251714,-119.97787722794331
2023-01-24,1.0993416461357652,105.98118440304674,-0.7044623491055828,-7.203237079997801,8.534969037638353,1.424867930237092,1.7073030191596248,5.43667797026027,4.716013534581513,5.941604914445197,-1.0104468568274578,-1.913185140493324,0.4223169038653251,-1.8972793135249728,2.3178583699733326,4.277754378142862,2.9871077895424603,1.9203434825423888,-0.74428144174388,-2.4315027434709773,0.6667493692340098,-5.870243628702686,-2.6025653068031724,-1.974111931134128,-0.6727254704767791,-0.1855665661165477,-0.5415289565368001,-3.9376349785453426,2.290457578629678,-99.5277466976427
2023-01-25,0.6892823989197661,106.71169405330365,0.4662715742031508,-7.2806281437275775,7.763847189770337,0.8424581440416667,1.6943812508488507,5.353574085574653,4.58531195993534,5.901178202179192,-0.3272020661084348,-1.9573396020266969,0.2657760737722119,-2.012032605602421,2.044773846965348,3.9013622257807214,3.036617071714105,1.9457288105391928,-0.2711326961052106,-2.685924034644635,0.4013236377692067,-6.102270208439022,-1.7873174672065897,-1.838216186386849,-0.8292552934630452,-0.2965688655568487,-0.17013082515911335,-3.7650589344896472,1.314296537201985,-73.3455164441874
