,ITAU INDEX ITAU UNIBANCO ACOES FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2022-07-20,-1.2620223291198385,108.15769545576886,-0.662745663100723,-8.796536825581965,0.0578623556011763,5.246229384664499,1.809273089127132,4.94889523233142,6.04292679925774,6.300838675650213,-0.910906059220034,-2.381300307610573,-0.9277580022672136,-0.6235483380939577,6.499648437193835,1.6826234692963584,0.5941012109353403,0.8702873567724071,-0.2535641482143296,-7.003828220707925,-9.436731640892994,-4.514460027743782,-0.5221305704876554,0.9712741662190932,1.709705992090517,5.074968364627662,-1.1982669113855713,-27.638780047481628,-560.6373695126368,-392.88774847998235
2022-07-21,0.8081172192969666,109.0317364167417,0.3078077391137114,-4.831110208257909,0.8281363369381534,6.09674228698275,1.804808951423188,4.857517286256705,5.986778648292519,6.24503380913021,-0.3753995218834406,-1.610870913828225,-0.8103175872828214,-0.4986807146046265,8.333250392615156,1.618531713137548,0.5927244681171426,0.8945493569071147,-0.0813037393014896,-4.834525790464853,-8.184565157721721,-3.4813930596682283,-0.0410823745207862,1.5429017823902922,1.7073432635128194,5.181075447438639,-0.49258642594359403,-18.35149866254304,-485.1192029880705,-311.4277922667106
2022-07-22,-1.0581092718832783,107.8780615044208,-1.348923231692933,-5.082560156232454,-0.1038162128681591,4.974122819678065,1.7824924286424075,4.919846015990876,6.053115668920676,6.313665522451352,-1.309545752202545,-1.642681032799599,-0.9578933178538928,-0.6767578245503526,8.62807749185681,1.4934188241993926,0.5800941586776183,0.9071880332785952,-0.27054177369929,-5.411568144050566,-9.995341212663597,-4.709963521532221,0.3856202458810994,1.9389546406329323,1.4181958234265593,5.013243722571288,-1.6970938453586961,-18.95401388855806,-579.8239051455813,-427.2822543912742
2022-07-25,1.4553302730919926,109.44804359151944,1.1967551932373437,-2.9170253082016098,-2.1222704282585525,6.501843007985612,1.7643993266811726,4.850752417802042,5.954566700081304,6.215111954784745,0.1198272032137415,-1.2207709531422029,-1.315257732270101,-0.4474640758557554,10.094590835315094,1.5091334501410647,0.5928456519078611,0.9461721574007544,0.020944190816409,-3.9238793971358352,-13.21050406525912,-2.9392529736106945,1.2240246976015248,2.5182906170283563,1.1821108261171105,4.972954082529298,0.15371271545577733,-13.888000956364404,-783.1789894599992,-278.1039327187813
2022-07-26,-0.5523957734840712,108.84345722455888,1.685535698991773,-1.711242576007758,-3.684938655656843,5.913531328526855,1.812397770373044,4.886751619864834,6.006226062833567,6.244834775601939,0.3863409864373871,-0.966148955849624,-1.5666338242364133,-0.5452986223209967,12.016146565960735,1.4857335542975303,0.5868376157493479,0.949657895719354,0.0582718876287989,-3.1777770390742512,-16.034345197913165,-3.585817392881798,1.1627593310661053,2.446455623314177,1.1417192202255289,5.052322095810118,0.5090750259460708,-11.072885170999452,-940.9556906045367,-340.5299799757988
2022-07-27,0.3464718063374894,109.220569116885,3.878991993126071,-0.9385177011611148,-3.704787876495693,6.280491853676649,1.8993780104994555,4.876673918787532,6.005511983762267,6.216226308800554,1.5234775913806813,-0.8108109153106694,-1.5726397837634745,-0.4945604841935708,11.28720916565496,1.5373261915596086,0.6190353563824397,0.9982021418491056,0.2563662809901716,-2.572037388989266,-15.256813637794922,-3.079837003196839,0.6908620010359671,1.6547542254041523,1.065076212227571,4.712531527267955,2.140620880105882,-9.273416068047615,-944.4507067532845,-307.42998931372153
2022-07-28,0.6351457447705711,109.91427891404508,3.643466174944004,-0.8019538375439426,-4.3519346451555085,6.955527875206497,1.996525982865586,4.847296436554604,5.983699471250456,6.16646180258619,1.331379627005851,-0.7886772064958933,-1.6890482188000238,-0.394916306531353,8.772146186455824,1.590992410679331,0.6470321367563235,1.0358124316272324,0.3030198040337298,-2.4028726893845067,-15.620177669098522,-2.351039865024906,-0.0278091570610245,1.2226355190588385,0.6792806375758257,4.878320236364512,1.96635110562707,-8.96628397742116,-1010.6756933750227,-243.5236319444008
2022-07-29,-0.3336069983978285,109.54759718734933,4.298621575935361,-1.0191305984081125,-6.663263287987983,6.598716749041471,2.0845162716935124,4.868327910766104,6.024762925413265,6.178242414922894,1.589476400044905,-0.8310009040221717,-2.06368134070683,-0.4577404926381426,6.4747392953281,1.632560611191828,0.671596828350348,1.0685044936111427,0.5117255333750907,-2.478061069946788,-18.512879016861145,-2.646719544516833,-0.2369416533899936,1.6166288608341557,0.2277596937403318,4.661923807921229,2.4484268843756483,-10.090501139541363,-1243.3190831357651,-282.80317266446735
2022-08-01,-0.565662300948444,108.92792772846563,2.9934953807587,0.7483825759757097,-7.828894186881566,5.99572799509733,2.102954706858331,4.904464443510431,6.082993263841034,6.207606150542913,0.9549246199362168,-0.4656018933773543,-2.2380312704728142,-0.5585110451011603,5.385527166433016,1.6562471758701391,0.6849025894346996,1.0669649005079866,0.3728814584218005,-1.378736196003279,-19.87717575106308,-3.249419542353691,-0.7434944323088041,1.5931792117363544,0.317649561381568,4.2119940509443135,1.4648583917620648,-5.725503641189014,-1361.392914255172,-346.7016598716113
2022-08-02,1.058847703494381,110.08130858968252,5.042958310628067,-0.3010250879043781,-5.385750520299988,7.118061326775579,2.1532244978614448,4.8398391926843845,6.032554223561597,6.13118356094204,1.884441756114664,-0.6890200653597002,-1.8542552012901807,-0.3882922770924388,4.386965028787423,1.7221854173912938,0.7219253039059299,1.0988456746554631,0.9249278550051908,-1.9363456937901555,-15.49453244758645,-2.166538287459124,0.2487381579244511,0.6165776660260199,0.3761731991062816,4.357221313431428,2.9921772785014698,-9.916026481924174,-1118.589504610414,-238.06912261499127
