,BB ACOES BB SEGURIDADE FUNDO DE INVESTIMENTO EM ACOES,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2022-07-21,1.0110929187933992,137.9544583123543,11.388719068997975,5.53375500176976,37.96667105464866,38.2959513435388,3.260679975594362,2.5605126282474924,5.883459757809947,8.01007766026196,3.19055748809961,0.9920013172977088,5.487815675966892,3.631042340348266,10.814558146933551,1.6252948745625024,0.5664871044496803,-0.3200418581269376,0.961979839682947,1.5628129639322577,56.99572405835375,-90.87852227864846,4.7031614227133085,3.578955116425383,5.934762685687312,3.96427807128914,1040.3386912429046,254.00319001789313,3228.73426878298,2908.4931133888945
2022-07-22,0.9272110448191871,139.23358728664692,11.666718819111043,6.477937530211851,37.23292074118495,39.578246678933866,3.452050956243075,2.7205530402137783,5.717598674180711,7.986300486106149,3.0942146561378823,1.278695875529801,5.516039110093106,3.797916365419852,11.452074391588036,1.460704101668464,0.4876304305590456,-0.352537340452856,0.9327032201596576,2.381563759359521,64.67705033592729,-86.03713092173619,5.24644290886265,4.382650243024202,5.657097177850372,4.020339654960812,1068.1386662542113,347.8759951681419,3153.849790259729,3033.1301315343057
2022-07-25,1.2460359473868143,140.96848783507474,10.728539889206049,8.595785284553887,37.64876808320825,41.31744180728562,3.684918062510949,2.9108830289666465,5.5709485837366834,7.950099470505885,2.64407717277653,1.92077554631362,5.733179571986597,4.0294539195336325,12.621115697608502,1.4272110028478038,0.4272474506864779,-0.3952305653855979,0.7719767385131648,3.917537721515652,74.75585533757679,-81.05283922274175,4.210824856137607,5.326969550924424,5.695521524082737,3.977892130859645,974.3207732637119,559.1152940218453,3193.924861686681,3203.455947211219
2022-07-26,0.6287956570025566,141.85489156432388,11.30109364723701,11.239656879209807,38.457346273570046,42.20603974395696,3.985172854881184,3.128290109222941,5.476880202610202,7.96746643979447,2.5885355206193785,2.630692548598985,5.976528025495533,4.127687121644215,13.928610343896311,1.3439984054030207,0.3440594994087593,-0.4271568914595973,0.740616704464604,6.123198842427883,95.1368239488527,-76.9909353523394,4.7754323546771085,6.642556310790952,5.8143245375277335,4.054218899113835,1031.576149066808,822.9569480188698,3273.272802318152,3288.7208615672116
2022-07-27,1.359049518791644,143.78276978551122,10.750286313134565,14.906417959203294,32.57893489102841,44.13869024278985,4.287063976634225,3.359202424126795,5.361441317070669,7.94181667788204,2.277771969298229,3.539791210912687,5.005970244332619,4.379841528305374,11.734988487395295,1.3672889081902384,0.3007271764745666,-0.4766148570994091,0.8321230282461972,8.69668081513185,89.24772285174942,-72.98114605084791,3.7213572090507623,7.1686070286351935,5.029950218068991,3.993279193121881,976.4954156565634,1189.087521660062,2683.9215699991255,3478.389849597598
2022-07-28,0.2351307746761621,144.12084732595875,10.636651497819056,14.412151924388784,31.21137995041344,44.47760466176581,4.611389269124825,3.5892445640625983,5.386460981266217,8.003945556445926,2.092930953773462,3.1736911057406214,4.726026559990888,4.383693044845657,8.192516296741527,1.3996041828910857,0.256063652330711,-0.5239021337761638,1.1780653210404746,8.138839315100688,99.41495964035184,-66.97212743574374,3.4354824978356286,6.621879763393986,4.67159616481599,3.983342607530878,965.1319341250125,1139.1153549293342,2545.655766181872,3508.6840467115308
2022-07-29,0.4047740522343357,144.70421111979448,13.911164545126478,12.65831459136103,29.15108471123323,45.06241251672633,4.890949783622213,3.809751188071045,5.418558073012745,8.05420733657538,2.6428061951976822,2.5282124263141044,4.3150145948077885,4.424478108381096,6.005684415835962,1.426503839405325,0.2258971011254982,-0.5675851948795624,2.15226633528634,6.752074567749799,103.50357331444484,-62.78469622274384,4.590226979398391,6.368713610019275,4.3780151421267375,3.9286945078918967,1292.5832388557549,963.1860294846138,2338.115716786356,3563.5664041040186
2022-08-01,-0.1734855522580791,144.4531702199926,14.616345339077764,15.100150444475638,29.214331475488542,44.81075018925277,5.019691310472139,4.032609505563184,5.493760212330672,8.145095278161445,2.715508253280765,2.992662671887974,4.264710437712887,4.339790314081909,5.318329685919919,1.4426602317772697,0.1965337674919585,-0.5864563296935051,2.563025233015628,8.365268322903876,119.21257511525104,-60.27389219912243,5.355233562449093,6.600220602259971,4.568779159724678,3.769735207087764,1363.1013182508834,1206.8239937599558,2342.9296519818386,3534.800559543933
2022-08-02,1.0596561300832086,145.9838770933283,15.837547191638093,16.327200208931515,32.236594464549185,46.34524618065269,5.034839885252451,4.211143139093423,5.512785242660272,8.146707707448138,2.9498882533628894,3.156738809601207,4.795479739382656,4.522869231461471,4.454962522452948,1.4878582529104412,0.1759009243008102,-0.624380757216996,3.333858581349273,8.93464075220762,150.29170565093654,-59.01285906369091,5.479786903333037,6.654070751774893,4.645527410588086,3.807078890579905,1485.2215035069162,1329.347897996206,2643.6449938745036,3684.64936277272
2022-08-03,-2.3449198724389886,142.5606721488099,11.977937225397111,12.05242403813744,28.417004020341786,42.9135674205928,4.992046870186967,4.429704244132618,5.6579561256255015,8.397535617767678,2.202023609689481,2.0355517114253545,3.9946841694116064,3.974832210660819,3.220700903701512,1.5219672726902471,0.156517815139097,-0.654047638380498,3.4131095676082546,5.92449799483135,144.40367536548794,-51.03419553096232,4.414742652119484,4.204928686005468,4.132450226510028,3.6005688139680405,1099.2605068828182,901.6892055252308,2260.1747766261615,3337.8795063674465
