,ITAU ACOES PETROBRAS - FUNDO DE INVESTIMENTO,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2023-08-22,1.3987636466053166,202.42961738308563,0.4603868507219174,20.58456866485313,32.518057624208176,20.85957530609005,1.7824985553300623,5.299815778302176,12.37213970555381,10.852807367437965,-0.3004475626166278,3.285342491607848,2.1008101722233152,0.6721844298192527,-0.1604415995996221,7.635660348198002,4.7270382246284255,3.689093691860456,3.337958158314441,2.280314888319906,5.498478267041835,1.977474345071586,1.515638475374267,1.85883188631388,1.610529106586181,1.1531002515339217,-0.3037505548191284,1741.1709974149858,8.726702163108435,729.5088132219474
2023-08-23,5.278040933336947,213.11393544976227,11.62602475478838,27.71938193975685,41.62130266277448,26.526735706132698,2.3118114282765174,4.94237777086001,11.866870865439545,10.424783669971792,4.598929441971869,4.96690652960071,2.957529936315782,1.2435975588068888,-0.2855155391635955,8.150161749851206,4.896041857618459,3.806096149777863,-37.2374045662574,3.012005058953113,7.168367194475495,3.406176568561852,3.043561107448236,2.466357061779309,1.9728129831669816,1.6046139596519369,7.156869824973191,2454.8328421837987,12.092913139536941,1296.4235523066839
2023-08-24,-0.2391312729264627,212.6043133831376,9.63829176566894,28.563722788406658,38.97509901374031,27.316241909710463,2.607298527295545,4.808175444659217,11.995429879085451,10.56133931102804,3.316034437666233,5.281519924547522,2.705387496002716,1.3024606328403996,-0.3201406232600295,8.481514974610237,4.827046362590592,3.7445544935996873,-27.006543617446457,2.99409651314738,6.7230110436806685,3.673528775237616,2.69303060601423,2.586849052954671,1.8666277016609405,1.746803029873597,8.10465121051441,2539.4474411687797,11.259630147777399,1375.572868268377
2023-08-25,-0.7400584686822698,211.03091715716187,3.753766695678441,29.110889401077333,44.25705961814474,25.32604608287974,2.817626015871498,4.610520607145737,12.178202694933178,10.7447827375929,0.980660187844674,5.627010124142063,3.0986600682634204,1.0951845248537324,-0.2559216890536398,9.452665044809477,4.7559613489378565,3.6863575881044257,-10.79679361377396,2.744564206072276,7.93448634784111,3.192180762685662,1.9533675833104565,2.743115865063382,2.2356025759879303,1.7320760070492114,3.500964309235606,2594.3446133974676,13.185193709736781,1176.7519777127266
2023-08-28,0.9516267330299976,213.0391437797878,6.834404251471317,26.8224962794377,45.61954755967205,24.259308091701744,3.0821787348826164,4.271553284630658,12.141126975720717,10.75321405931592,1.8965604229638688,5.53823317046915,3.22049692476358,0.9953088084568515,-0.3594612278850989,11.942349355191173,4.903253361390076,3.7849508401597807,-16.261943574475666,1.9809216249468244,7.974391532847018,2.82771669288243,2.2688077963307065,2.619873839435628,2.209031490740077,1.4967930834715455,9.183849690275464,2365.685809036796,13.823981022641473,1070.276867245919
2023-08-29,0.3381872103375816,213.7596149170637,7.907126510142559,25.81314434042399,50.22193160966074,30.92800146469081,3.3503771598659657,4.042113969729659,12.176313720258367,10.82544501608738,2.065447289640923,5.603333148797719,3.5893219296802643,1.604871566145897,-0.4942761534302097,14.385289116292974,5.069833984936869,3.8729479404329568,-14.000326287432555,1.574477302103829,8.62054063084558,4.485846224737085,2.16086305538227,2.615615627066647,2.353999840459742,1.931221434778016,10.871965845759288,2264.9311197804536,15.56477147919351,1737.344889719445
2023-08-30,-0.0814557158490103,213.5854954925369,6.416919571058026,24.9650435320056,44.819335410901154,27.68802286765533,3.5560022257564787,3.834987204851097,12.239030338153311,10.944405949979858,1.5274420738962329,5.68529026033626,3.129657847839756,1.2915691524735469,-0.5021925125890248,15.796592108762164,5.05273400860172,3.8226373784669687,-10.815747503854364,1.3802353858437777,7.580841833855116,3.697828414687562,1.97255854450484,2.6748176860849098,2.1018118275655766,1.6233522336813484,8.680359837306739,2180.301540425412,13.997386766598337,1413.5457117141927
2023-08-31,-2.5165919489422595,208.2104201088633,7.961864460989952,19.508652029937444,39.10698374697118,22.462563480106496,3.696551086306933,3.63142964089164,12.59536070102792,11.31513508708758,1.887308505018113,4.501926376703366,2.58773766886026,0.787616271765385,-0.4770219078866961,17.478788606770628,4.92940947073857,3.732265737278092,-14.62518217523484,0.9353296302891232,6.612047453637214,2.3878215376788914,2.491445330667602,2.461328325710683,1.9153201266360664,1.296361766247896,13.062129799038217,1634.8428885472508,12.697895258804031,891.1984511813614
2023-09-01,3.085994742297271,214.63578272633788,10.609137905070105,19.64512879655328,47.85965287373322,27.95432337377545,3.6218011239436367,3.36074310249139,12.29531172019091,11.084333463117767,2.657187796667916,4.9056741622327005,3.362909621908822,1.2996479401197265,-0.3393920937246472,19.886235637206703,5.1551893345695845,3.87906445959891,-28.35601042701096,0.8290513551467482,8.020660232773107,3.713712752901944,2.594732143724183,2.369182210837589,2.337787309746828,1.6480730190602653,18.01860786453921,1648.6710603793774,16.489131083417696,1440.573115294116
2023-09-04,-1.2786378598800052,211.8913683475492,9.259899980321848,12.914392508743749,43.747783536264535,26.56670148346701,3.5969724667264726,3.289010995454486,12.494377498729548,11.32571166962396,2.300425677509682,2.9667821875921896,2.980381883324172,1.149605106957696,0.43064593452665,21.84875919883138,5.171493021999469,3.886112906226306,19.214317750028258,0.446605646906994,7.200631651675185,3.350416287305848,2.43963158377854,1.6618831427062408,2.242090495455405,1.6001660226226833,29.250640163650253,975.7779236109226,15.093601026922764,1302.009597533008
