,ALASKA BLACK FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM ACOES II - BDR NIVEL I,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2023-07-13,2.413583620236514,154.3023996868926,1.221151384053941,29.437624713233586,27.45112263886485,63.29451110468236,1.811884663348944,10.244683934787856,10.649863332744095,8.95243457980325,0.1106443295497133,2.561278654754847,1.9623242075557696,5.555138155805396,40.838513134790354,7.1376804331578505,6.272981189549001,6.547956597353988,0.0049089633389925,3.6761929218611935,3.331507618709568,7.595042847674533,0.1738071485290473,1.7734236426403482,1.640087806177593,3.1040241657061007,2.1958966778248263,185.57169435037403,6.740957067240622,18.212845657618523
2023-07-14,-1.7854581434469607,151.5473949261489,-2.83591515728126,27.421880764441127,27.041955586758075,56.97021730198107,1.8532371578858464,10.430286228440645,10.965373577610196,9.142168236630406,-2.0810028339476574,2.3224431053519696,1.868547152350006,4.747859479788911,42.67373485514601,6.856271255268849,5.972082494519232,6.581473827982048,-0.0903738983857065,3.5330787590228896,3.430849723141169,6.595138302239426,-0.2186119123039572,1.7071915141699454,1.6395105543837742,2.57306124538343,-15.707802885865403,171.31589075570827,6.608977281094735,15.896036553307836
2023-07-17,0.1741666870537894,151.8113400032081,-2.76454293549236,29.03612281578193,31.692771267928023,57.65794173207736,1.783973881475362,10.399545799971794,11.064305338810176,9.162078313858377,-2.1217909045945444,2.48453046761912,2.2721836106496114,4.812387105002622,50.58740927512911,6.859151976478056,5.893210336221371,6.878061706116763,-0.0748253292664588,3.766936274051959,4.265948747756205,6.410449544735113,-0.3263988298045703,1.8548714953978052,1.8261193867867955,2.6135733367113465,-8.898909560819297,182.73218083161322,8.109131450019776,16.147167148649395
2023-07-18,0.5977380019967837,152.71877407374782,-3.6836369528299966,36.65938631395799,27.172758802702727,55.96370789827632,1.6850843641640785,10.306786162947668,11.110741691905028,9.144940035280088,-2.791737715411037,3.2465262554779497,1.8558725745433733,4.635923961769175,55.288424996320686,6.760201621476871,5.734920215904272,7.037393540216894,-0.0850867712979587,4.949741703161851,3.595537516225209,6.024282484163956,-0.3157350294027016,2.457699602809482,1.6607672696500593,2.5391436203469637,-8.673949055656223,236.6456489809212,6.651168802573998,15.525977521009516
2023-07-19,-0.1258139299832317,152.52663258226343,-1.5098223936539366,34.772455410567886,27.30531674631576,56.74214620856276,1.390959607739387,10.18090641043873,11.24146382694911,9.197530989671456,-1.819246942779912,3.1013271030408864,1.846083308359265,4.693835541533832,69.02045477588061,6.760263242495998,5.622476212911836,7.2045209781695,-0.0366630301426891,4.670575664233837,3.691021170493768,5.992306495392792,-0.0737367938781185,2.364428005980611,1.7389078004607312,2.7241025544681645,-4.62080072803592,223.30084079159292,6.6939263241288405,15.810329307327983
2023-07-20,-0.0209259769294867,152.49471489431795,-1.1344513482740932,35.388847765415846,27.029881021741225,57.9884003420746,1.3245917355306334,10.048634289777716,11.356096219938047,9.235244613740171,-1.627012996323003,3.203491381093577,1.8031938626874715,4.809397770713691,63.0056128815297,6.73958225629859,5.552693240168557,7.447254426075473,-0.0342053329848992,4.776366266467024,3.687803759758765,5.964072437461193,-0.086125643447514,2.371529575440784,1.7222883977256345,2.762137826069349,-3.890339999577708,227.66010891849467,6.605082542990767,16.26600448462696
2023-07-21,2.5863009589240704,156.4386871679382,1.7411275575080505,41.02791121542933,31.712665715268724,61.280516045347575,1.4084363450204005,9.678596742569455,11.209821346798906,9.054739642317134,0.5115253804681718,3.908601401140182,2.2444628618985902,5.268632261163588,45.26540916967593,6.9401626432248245,5.622374196146999,7.899760275621468,0.0159161476824648,5.450848738539036,4.474982778387517,6.038929249938017,0.0176663645473171,2.711794796394265,1.860079689352041,2.8896562876180765,1.3005256021223894,267.54085917420457,8.115548547613527,17.470914605037386
2023-07-24,2.333856588066663,160.08974177469213,6.137438074912468,45.18948502394354,35.64330750796108,58.09758039167791,1.766989253459936,9.33570212169,11.117740568519883,8.921847256704192,2.895751315203001,4.497931708856889,2.616599057588318,4.990129203278361,26.338681121538865,7.077248509006897,5.602842134049422,8.180637181420346,0.1942679449682796,5.9332875684881605,5.192127280779804,5.442261960227727,0.7673099605223996,2.9714684374675238,2.0433187214078448,2.5543323215162586,9.23654745612185,296.972463765861,9.383405430381908,16.30453288671114
2023-07-25,0.689048662830305,161.19283799971913,8.352164851195285,42.84810841826304,32.87660766287835,61.04634754734574,2.1223545982883048,9.123740801914252,11.20695396158962,8.95483639588534,3.4544124892475074,4.345802325247176,2.348896028237449,5.30081716357954,16.37045651008401,7.1012151830706935,5.522999622158467,8.390334072106057,0.4478487344823209,5.583547740735568,4.766245057016683,5.657456551362421,1.126520787668006,2.7874976496796013,1.871005198812716,2.817662405146177,13.234472540721004,280.4137113252438,8.490986424492377,17.38370195513279
2023-07-26,0.4951392879797289,161.99096707006527,7.027277482732537,41.191535810241504,29.89090355495445,54.25396418210357,2.368955028518682,8.96454457081233,11.323411479593997,9.001860818492133,2.5355487082556407,4.238185340456972,2.0610630977379887,4.518352444042271,10.914980213591267,6.918588271191543,5.44296737614837,8.519525309648097,0.5503079936871407,5.491496226490524,4.287783469613382,4.774160337794961,1.1600557812462469,2.8312562346271237,1.692656087217742,2.241273008078075,10.84284550059649,3799.3401383889955,7.527926012785859,14.895469096496578
2023-07-27,-2.9275247106626434,157.24864148004772,3.366065873198466,42.779465797776666,26.420644235757468,44.94292190409031,2.4718621413411737,9.064766495553249,11.795783590639152,9.350606822618657,0.9488349749430705,4.366503140576414,1.684331190821752,3.353851877566652,8.211472790795247,6.46156478367682,5.150397031854132,8.246451330338378,0.2856234578979876,6.125657282182687,3.857567892148401,3.8029146104401135,0.6665092140339627,3.0700399579828663,1.5909444004018638,1.899554526882363,4.233791105928009,3958.1331371425113,6.408568820020324,11.484853534533613
