datetime,symbol,Open,High,Low,Close,Volume
2020-04-06 10:00:00,BMFBOVESPA:LWSA3,4.25899807,4.40244865,4.01908959,4.34061651,7425748.88025707
2020-04-07 10:00:00,BMFBOVESPA:LWSA3,4.57557891,4.69924321,4.33814372,4.5953652,10173106.15137472
2020-04-08 10:00:00,BMFBOVESPA:LWSA3,4.69924321,4.87979308,4.39750258,4.7017165,6543926.0387107
2020-04-09 10:00:00,BMFBOVESPA:LWSA3,4.74870917,5.08260228,4.74870917,4.93667841,5969386.71829007
2020-04-13 10:00:00,BMFBOVESPA:LWSA3,4.9465718,5.06776281,4.62257159,4.62257159,10339281.84503614
2020-04-14 10:00:00,BMFBOVESPA:LWSA3,4.79817465,4.85753326,4.66214392,4.85753326,4117599.18308494
2020-04-15 10:00:00,BMFBOVESPA:LWSA3,4.80806804,4.9465718,4.68440374,4.79817465,814705.65140575
2020-04-16 10:00:00,BMFBOVESPA:LWSA3,4.9465718,4.97130466,4.7363425,4.8229075,1611216.88379747
2020-04-17 10:00:00,BMFBOVESPA:LWSA3,4.99109095,4.99109095,4.64235763,4.78580822,3630393.07393162
2020-04-20 10:00:00,BMFBOVESPA:LWSA3,4.74623589,5.07270938,4.66709074,5.07270938,3647374.53167805
2020-04-22 10:00:00,BMFBOVESPA:LWSA3,5.14196163,6.14364217,5.13948835,5.56489327,4765320.4999842
2020-04-23 10:00:00,BMFBOVESPA:LWSA3,5.68855757,5.81716844,5.29283183,5.44122898,1703401.9401352
2020-04-24 10:00:00,BMFBOVESPA:LWSA3,5.43628241,5.57478667,4.98367109,5.57478667,3135909.1971727
2020-04-27 10:00:00,BMFBOVESPA:LWSA3,5.58715285,5.81222186,5.43875569,5.73802353,2748570.23238525
2020-04-28 10:00:00,BMFBOVESPA:LWSA3,5.98040531,6.06944385,5.86168783,5.86168783,6755385.61969591
2020-04-29 10:00:00,BMFBOVESPA:LWSA3,5.88642019,5.97793202,5.78254219,5.82458805,3340899.65139737
2020-04-30 10:00:00,BMFBOVESPA:LWSA3,5.81716844,5.89878687,5.57231338,5.62919871,5517356.4858972
2020-05-04 10:00:00,BMFBOVESPA:LWSA3,5.5352136,5.67866418,5.32498479,5.42638951,1491942.35914998
2020-05-05 10:00:00,BMFBOVESPA:LWSA3,5.46596184,5.7627559,5.36950344,5.51048123,2347080.05280912
2020-05-06 10:00:00,BMFBOVESPA:LWSA3,5.55252709,6.00019159,5.45854198,6.00019159,5157915.63026459
2020-05-07 10:00:00,BMFBOVESPA:LWSA3,6.09664974,6.13374878,5.76770272,6.0348176,1941950.98943018
2020-05-08 10:00:00,BMFBOVESPA:LWSA3,6.08923013,6.08923013,5.81964197,5.93835945,2668514.78872355
2020-05-11 10:00:00,BMFBOVESPA:LWSA3,5.93835945,6.01008449,5.81469515,5.88642019,1198001.41196786
2020-05-12 10:00:00,BMFBOVESPA:LWSA3,5.88642019,6.05955045,5.85179444,5.87405401,1264309.96126341
2020-05-13 10:00:00,BMFBOVESPA:LWSA3,5.86168783,6.05955045,5.84190154,5.96061902,3543868.50350938
2020-05-14 10:00:00,BMFBOVESPA:LWSA3,5.81222186,5.89136701,5.64156489,5.87405401,4458845.61970352
2020-05-15 10:00:00,BMFBOVESPA:LWSA3,5.76770272,6.00019159,5.56736656,5.98535212,2670132.07041368
2020-05-18 10:00:00,BMFBOVESPA:LWSA3,6.09664974,6.18321475,5.89631358,6.13374878,2434008.9436539
2020-05-19 10:00:00,BMFBOVESPA:LWSA3,6.09664974,6.18568804,6.00019159,6.18321475,3193727.01759504
2020-05-20 10:00:00,BMFBOVESPA:LWSA3,6.18568804,6.39344405,6.08923013,6.17332136,2855715.14435673
2020-05-21 10:00:00,BMFBOVESPA:LWSA3,6.17332136,6.27967265,6.08675685,6.08675685,4046843.10914151
2020-05-22 10:00:00,BMFBOVESPA:LWSA3,5.93588616,6.14364217,5.83695472,6.05955045,2917576.16900441
2020-05-25 10:00:00,BMFBOVESPA:LWSA3,6.27967265,6.3489249,6.14611546,6.18321475,3382948.9753409
2020-05-26 10:00:00,BMFBOVESPA:LWSA3,6.23762679,6.38602419,6.12632917,6.27719937,3399121.79224225
2020-05-27 10:00:00,BMFBOVESPA:LWSA3,6.28461947,6.76691047,6.28461947,6.55420763,4688095.29928023
2020-05-28 10:00:00,BMFBOVESPA:LWSA3,6.60614639,6.74465065,6.4824821,6.55420763,3612602.97534013
2020-05-29 10:00:00,BMFBOVESPA:LWSA3,6.56162774,6.61109321,6.06697056,6.4800093,21819151.60204033
2020-06-01 10:00:00,BMFBOVESPA:LWSA3,6.50474167,6.72733789,6.50474167,6.65066554,4316929.15139414
2020-06-02 10:00:00,BMFBOVESPA:LWSA3,6.79906294,6.92520052,6.70507832,6.92520052,10375670.68306419
2020-06-03 10:00:00,BMFBOVESPA:LWSA3,6.94993338,7.4198577,6.94993338,7.2961934,4477444.35914008
2020-06-04 10:00:00,BMFBOVESPA:LWSA3,7.2961934,7.34071255,7.20468158,7.2961934,3969617.90843754
2020-06-05 10:00:00,BMFBOVESPA:LWSA3,7.40007141,7.4198577,7.19726197,7.2961934,2553283.46830139
2020-06-08 10:00:00,BMFBOVESPA:LWSA3,7.35802555,7.4198577,7.27393383,7.40749152,4849823.46829378
2020-06-09 10:00:00,BMFBOVESPA:LWSA3,7.31845298,7.56825485,7.17500239,7.56825485,2899381.74999039
2020-06-10 10:00:00,BMFBOVESPA:LWSA3,7.66718629,7.89472859,7.34813216,7.43222388,3139952.40139804
2020-06-12 10:00:00,BMFBOVESPA:LWSA3,7.13542982,7.52868253,6.92520052,7.51878913,4575694.22181582
2020-06-15 10:00:00,BMFBOVESPA:LWSA3,7.4198577,7.95161466,7.30855959,7.86257612,3565701.80632621
2020-06-16 10:00:00,BMFBOVESPA:LWSA3,8.00355342,8.1123775,7.70923215,8.02828578,5086350.91547609
2020-06-17 10:00:00,BMFBOVESPA:LWSA3,7.94914063,8.12227089,7.91204159,8.08764514,3300063.28872145
2020-06-18 10:00:00,BMFBOVESPA:LWSA3,8.09011793,8.3943321,8.07033214,8.25830137,5357245.59857379
2020-06-19 10:00:00,BMFBOVESPA:LWSA3,8.48337039,8.74306516,8.37207228,8.48337039,21044069.35204291
2020-06-22 10:00:00,BMFBOVESPA:LWSA3,8.62434768,8.79995173,8.29045434,8.40917206,3281060.22886236
2020-06-23 10:00:00,BMFBOVESPA:LWSA3,8.50315717,9.06459332,8.29045434,8.98792096,4012475.87322613
2020-06-24 10:00:00,BMFBOVESPA:LWSA3,8.9532952,8.9532952,8.64660726,8.87909687,3645352.92956538
2020-06-25 10:00:00,BMFBOVESPA:LWSA3,8.90382924,9.88572399,8.90382924,9.73980012,9136024.26757534
2020-06-26 10:00:00,BMFBOVESPA:LWSA3,9.74227291,10.49662511,9.74227291,10.26413648,10393460.78165568
2020-06-29 10:00:00,BMFBOVESPA:LWSA3,10.26166369,10.58319061,10.24682348,10.54361804,4664644.71477327
2020-06-30 10:00:00,BMFBOVESPA:LWSA3,10.5856634,10.867618,10.56340383,10.68459533,5217755.0527996
2020-07-01 10:00:00,BMFBOVESPA:LWSA3,11.07784779,11.83961935,10.83299199,11.79757399,14181538.82037552
2020-07-02 10:00:00,BMFBOVESPA:LWSA3,12.2427652,12.46783422,11.53045862,11.68380308,11034712.9717944
2020-07-03 10:00:00,BMFBOVESPA:LWSA3,11.71100824,12.11910091,11.71100824,11.93607726,4437820.95773177
2020-07-06 10:00:00,BMFBOVESPA:LWSA3,12.14383327,12.19329924,11.34743595,11.47604707,8906370.2675761
2020-07-07 10:00:00,BMFBOVESPA:LWSA3,11.47604707,11.54529858,10.83299199,10.87998517,10241840.62320548
2020-07-08 10:00:00,BMFBOVESPA:LWSA3,10.92945014,11.36722175,10.91213714,11.29796999,9021197.26757572
2020-07-09 10:00:00,BMFBOVESPA:LWSA3,11.43894729,11.70606266,11.33506977,11.60713073,6910240.34152638
2020-07-10 10:00:00,BMFBOVESPA:LWSA3,11.67143591,11.98307043,11.60713073,11.94844443,5889735.5950509
